Model,#States,BVI,G_BVI,OVI,T_LP_SI,WP_P3
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30,10000,102670,62890,2672,,2308
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30_1000000_1_SCC,10000,,,2683,,2180
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30_10000_1_SCC,10000,,,2680,,2178
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30_10000_2_SCC,10000,,,2687,,2132
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74,10000,1066,794,1125,,1062
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74_1000000_1_SCC,10000,1020,763,1125,,1016
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74_10000_1_SCC,10000,1019,761,1125,,1014
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74_10000_2_SCC,10000,1008,757,1133,,1003
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89,10000,948,737,1082,,933
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89_1000000_1_SCC,10000,914,718,1082,,891
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89_10000_1_SCC,10000,912,716,1082,,889
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89_10000_2_SCC,10000,907,718,1205,,880
simple,3,1,1,3,,1
simple_1000000_1_SCC,3,42,39,57,,42
simple_10000_1_SCC,3,36,33,58,,36
simple_10000_2_SCC,3,131,120,175,,121
