Model,#States,BVI,G_BVI,OVI,T_LP_SI,WP_P3
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30,10000,2207.286,1262.935,20.116,13.168,45.427
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30_1000000_1_SCC,10000,,,934.007,270.828,2406.754
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30_10000_1_SCC,10000,,,112.126,25.189,264.487
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30_10000_2_SCC,10000,,,115.367,24.238,248.952
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74,10000,21.006,15.626,8.759,10.322,20.552
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74_1000000_1_SCC,10000,709.973,545.878,412.738,267.46,1147.306
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74_10000_1_SCC,10000,90.642,64.168,50.753,22.173,112.907
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74_10000_2_SCC,10000,91.854,61.428,49.187,21.444,112.16
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89,10000,19.526,14.276,8.71,10.306,18.045
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89_1000000_1_SCC,10000,640.498,508.784,407.239,257.348,994.783
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89_10000_1_SCC,10000,83.239,62.498,46.882,21.888,95.46
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89_10000_2_SCC,10000,80.325,65.338,52.582,21.325,94.677
simple,3,0.01,0.009,0.009,0.008,0.008
simple_1000000_1_SCC,3,39.731,32.376,29.124,271.029,53.097
simple_10000_1_SCC,3,3.238,2.919,2.976,12.72,4.299
simple_10000_2_SCC,3,10.195,8.596,7.339,11.261,12.434
