Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_1, 10012, 94789, 1, 11, 10000, 56, 13, 2.0E-5, 94777, 9.467539, 59.21864, 6.2549133, 5001, 5011, 0.17830753, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.129, 0.343, 0.13, 0.342
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_10, 10012, 95519, 1, 11, 10000, 57, 14, 2.0E-5, 95507, 9.540451, 59.713245, 6.2589536, 5046, 4966, 0.17714506, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.047, 0.134, 0.064, 0.157
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_100, 10012, 95168, 1, 11, 10000, 51, 13, 2.0E-5, 95156, 9.505394, 59.478725, 6.2573657, 4988, 5024, 0.17852363, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.05, 0.102, 0.075, 0.159
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_11, 10012, 94826, 1, 11, 10000, 60, 13, 2.0E-5, 94814, 9.471234, 59.215343, 6.252125, 5022, 4990, 0.176737, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.044, 0.106, 0.06, 0.113
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_12, 10012, 95439, 1, 11, 10000, 63, 13, 2.0E-5, 95427, 9.532461, 59.698463, 6.2626495, 5125, 4887, 0.1775018, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.048, 0.155, 0.046, 0.157
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_13, 10012, 95840, 1, 11, 10000, 52, 13, 2.0E-5, 95828, 9.572513, 59.855274, 6.2528276, 4998, 5014, 0.17740722, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.049, 0.105, 0.035, 0.114
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_14, 10012, 95012, 1, 11, 10000, 54, 13, 2.0E-5, 95000, 9.489812, 59.371353, 6.2563257, 5016, 4996, 0.17650473, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.048, 0.113, 0.033, 0.096
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_15, 10012, 95529, 1, 11, 10000, 57, 14, 2.0E-5, 95517, 9.5414505, 59.647923, 6.2514524, 5011, 5001, 0.17730223, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.045, 0.097, 0.033, 0.191
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_16, 10012, 95279, 1, 11, 10000, 58, 13, 2.0E-5, 95267, 9.51648, 59.53436, 6.2559223, 5022, 4990, 0.1771237, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.051, 0.101, 0.037, 0.129
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_17, 10012, 95258, 1, 11, 10000, 52, 13, 2.0E-5, 95246, 9.514382, 59.537956, 6.257679, 4997, 5015, 0.17722373, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.049, 0.282, 0.051, 0.272
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_18, 10012, 95348, 1, 11, 10000, 55, 13, 2.0E-5, 95336, 9.523372, 59.605373, 6.258852, 5016, 4996, 0.17704673, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.051, 0.129, 0.037, 0.14
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_19, 10012, 95347, 1, 11, 10000, 58, 13, 2.0E-5, 95335, 9.5232725, 59.594585, 6.257785, 5006, 5006, 0.1769648, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.157, 0.257, 0.05, 0.169
