Model,#States,OVI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_1,10012,118,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_10,10012,122,41
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_100,10012,117,28
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_11,10012,131,28
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_12,10012,128,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_13,10012,375,37
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_14,10012,123,30
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_15,10012,131,30
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_16,10012,388,32
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_17,10012,246,17
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_18,10012,104,42
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_19,10012,483,58
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_2,10012,109,26
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_20,10012,228,27
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_21,10012,907,41
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_22,10012,126,29
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_23,10012,239,38
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_24,10012,222,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_25,10012,117,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_26,10012,229,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_27,10012,125,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_28,10012,145,34
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_29,10012,141,27
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_3,10012,127,39
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_30,10012,129,22
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_31,10012,121,27
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_32,10012,125,30
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_33,10012,464,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_34,10012,119,34
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_35,10012,132,32
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_36,10012,144,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_37,10012,246,41
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_38,10012,128,22
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_39,10012,130,35
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_4,10012,123,27
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_40,10012,123,30
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_41,10012,111,30
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_42,10012,127,35
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_43,10012,238,29
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_44,10012,121,39
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_45,10012,336,41
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_46,10012,221,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_47,10012,364,9
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_48,10012,128,22
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_49,10012,123,12
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_5,10012,111,32
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_50,10012,243,43
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_51,10012,140,37
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_52,10012,150,24
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_53,10012,116,18
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_54,10012,132,39
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_55,10012,126,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_56,10012,131,41
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_57,10012,124,41
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_58,10012,128,36
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_59,10012,120,39
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_6,10012,132,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_60,10012,129,29
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_61,10012,124,31
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_62,10012,127,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_63,10012,121,29
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_64,10012,112,39
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_65,10012,128,29
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_66,10012,123,39
