Conf,Model,Verification Time,Number Of Verif. Phases,Iterations in Verif Phase
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_1,3,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_10,3,2,2
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_100,3,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_11,3,2,3
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_12,3,2,8
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_13,13,4,2
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_14,3,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_15,3,2,3
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_16,10,4,7
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_17,7,3,6
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_18,6,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_19,25,5,1
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_2,6,2,5
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_20,6,3,1
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_21,46,7,1
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_22,8,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_23,12,3,5
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_24,12,3,1
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_25,3,2,5
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_26,6,3,1
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_27,3,2,5
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_28,4,2,7
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_29,8,2,9
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_3,3,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_30,6,2,5
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_31,8,2,5
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_32,10,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_33,28,5,1
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_34,9,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_35,9,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_36,7,2,7
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_37,10,3,3
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_38,6,2,7
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_39,4,2,5
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_4,6,2,3
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_40,7,2,6
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_41,3,2,5
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_42,5,2,8
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_43,10,3,1
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_44,5,2,6
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_45,21,4,2
