Model,#States,OVI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_1,10012,2.991,8.174
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_10,10012,3.656,4.464
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_100,10012,2.917,2.537
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_11,10012,3.708,2.318
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_12,10012,3.603,3.383
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_13,10012,22.689,3.22
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_14,10012,6.964,2.879
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_15,10012,7.623,3.363
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_16,10012,19.726,3.624
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_17,10012,13.43,2.852
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_18,10012,6.922,4.92
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_19,10012,24.463,5.741
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_2,10012,4.981,4.3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_20,10012,12.543,3.013
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_21,10012,32.37,4.818
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_22,10012,7.925,2.752
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_23,10012,8.93,3.68
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_24,10012,7.09,5.031
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_25,10012,5.457,3.983
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_26,10012,7.978,5.418
