Model,#States,OVI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_1,10012,0.4239768773425433,0.423976467241367
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_10,10012,0.4528028875754391,0.452802352257483
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_100,10012,0.06310603228207992,0.06310575433006224
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_11,10012,0.02418457812491813,0.024184269699193316
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_12,10012,0.4593932705402646,0.45939282654268
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_13,10012,0.4727433462345971,0.4727427883497134
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_14,10012,0.035405799789284056,0.035405518239452066
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_15,10012,0.025776621011425603,0.025776318514981706
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_16,10012,0.040197729378207696,0.040197459104840676
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_17,10012,0.010367459713068542,0.010367238695820357
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_18,10012,0.4239537777196875,0.42395336467902106
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_19,10012,0.4744949458618504,0.4744945070541183
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_2,10012,0.013449716124998212,0.013449425955604423
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_20,10012,0.026970602765815734,0.026970372899037434
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_21,10012,0.05425073219576189,0.05425071346597136
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_22,10012,0.03327444845101982,0.03327416422006874
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_23,10012,0.48826501263865635,0.48826454585511353
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_24,10012,0.44683303034595645,0.44683246808087224
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_25,10012,0.41705667267003266,0.41705617451836363
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_26,10012,0.4352413140199373,0.4352409050286461
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_27,10012,0.4541551455406662,0.4541547377793457
