Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_1, 10002, 103901, 1, 219, 9782, 88, 9, 1.0E-4, 103677, 10.388022, 28.156368, 2.7104647, 7008, 2994, 0.390963, 1, 9754, 9754, 9754.0, 9754.0, 219, 9784, 1, 45.67123287671233, 3, 1, 9784, 9784.0, 7, 7, 7.0, 7.0, 0.323, 0.381, 0.872, 0.157
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_10, 10002, 103767, 1, 213, 9788, 88, 9, 1.0E-4, 103540, 10.374625, 28.164568, 2.714755, 7047, 2955, 0.38949314, 1, 9750, 9750, 9750.0, 9750.0, 214, 9789, 1, 46.73831775700935, 3, 1, 9789, 9789.0, 3, 3, 3.0, 3.0, 0.309, 0.301, 0.507, 0.121
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_2, 10002, 104333, 1, 211, 9790, 90, 10, 1.0E-4, 104115, 10.431213, 28.275345, 2.7106476, 6994, 3008, 0.3909869, 1, 9761, 9761, 9761.0, 9761.0, 209, 9794, 1, 47.856459330143544, 3, 1, 9794, 9794.0, 4, 4, 4.0, 4.0, 0.163, 0.296, 0.343, 0.099
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_3, 10002, 103783, 1, 242, 9759, 84, 9, 1.0E-4, 103536, 10.3762245, 28.127174, 2.710733, 7034, 2968, 0.3890299, 1, 9729, 9729, 9729.0, 9729.0, 237, 9766, 1, 42.20253164556962, 3, 1, 9766, 9766.0, 3, 3, 3.0, 3.0, 0.168, 0.245, 0.281, 0.117
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_4, 10002, 103544, 1, 240, 9761, 89, 9, 1.0E-4, 103287, 10.352329, 28.059387, 2.7104418, 6997, 3005, 0.38941386, 1, 9733, 9733, 9733.0, 9733.0, 240, 9763, 1, 41.675, 3, 1, 9763, 9763.0, 4, 4, 4.0, 4.0, 0.201, 0.241, 0.36, 0.092
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_5, 10002, 103742, 1, 240, 9761, 92, 9, 1.0E-4, 103490, 10.372126, 28.118477, 2.7109656, 7071, 2931, 0.3900036, 1, 9723, 9723, 9723.0, 9723.0, 238, 9765, 1, 42.02521008403362, 3, 1, 9765, 9765.0, 3, 3, 3.0, 3.0, 0.491, 0.374, 0.355, 0.162
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_6, 10002, 103552, 1, 228, 9773, 95, 9, 1.0E-4, 103320, 10.353129, 28.121376, 2.71622, 7043, 2959, 0.38922033, 1, 9743, 9743, 9743.0, 9743.0, 227, 9776, 1, 44.06167400881057, 3, 1, 9776, 9776.0, 4, 4, 4.0, 4.0, 0.156, 0.228, 0.224, 0.081
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_7, 10002, 103898, 1, 240, 9761, 84, 9, 1.0E-4, 103653, 10.387722, 28.240452, 2.7186375, 6977, 3025, 0.39180985, 1, 9734, 9734, 9734.0, 9734.0, 237, 9766, 1, 42.20253164556962, 3, 1, 9766, 9766.0, 4, 4, 4.0, 4.0, 0.183, 0.253, 0.21, 0.058
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_8, 10002, 103868, 1, 216, 9785, 84, 9, 1.0E-4, 103649, 10.384723, 28.189562, 2.7145224, 7009, 2993, 0.3897011, 1, 9757, 9757, 9757.0, 9757.0, 215, 9788, 1, 46.520930232558136, 3, 1, 9788, 9788.0, 4, 4, 4.0, 4.0, 0.142, 0.212, 0.179, 0.062
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_9, 10002, 103847, 1, 212, 9789, 89, 9, 1.0E-4, 103628, 10.382624, 28.142872, 2.7105742, 6970, 3032, 0.39013803, 1, 9765, 9765, 9765.0, 9765.0, 213, 9790, 1, 46.95774647887324, 3, 1, 9790, 9790.0, 4, 4, 4.0, 4.0, 0.142, 0.205, 0.231, 0.076
