Model,#States,BVI,OVI,T_LP_SI,WP_P3
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_1,10002,,,300.128,31.104
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_10,10002,,,278.67,9.105
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_2,10002,,260.448,282.916,12.011
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_3,10002,,,292.284,14.097
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_4,10002,,,455.032,13.271
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_5,10002,,433.705,401.549,7.602
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_6,10002,,248.778,473.706,27.996
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_7,10002,,513.242,454.164,14.426
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_8,10002,,130.448,242.778,18.12
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_9,10002,,203.713,187.548,6.098
