Model,#States,BVI,OVI,T_LP_SI,WP_P3
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_1,10002,,,0.13775780500682455,0.13775682113590287
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_10,10002,,,0.8999999999999421,0.8999990205897802
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_2,10002,,0.8999999875890999,0.9000000000001651,0.8999990413787093
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_3,10002,,,0.900000000000007,0.8999990234062495
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_4,10002,,,0.8999999999993122,0.8999990429419421
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_5,10002,,0.9000000000000067,0.8999999999993274,0.8999990572540392
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_6,10002,,0.8999999478540861,0.8999999999981784,0.8999990077936066
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_7,10002,,0.8999999322382292,0.9000000000001578,0.8999990265614441
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_8,10002,,0.8999998968072008,0.8999999999974624,0.8999990292714569
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_9,10002,,0.9000000000000001,0.900000000000014,0.8999990165423437
