Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10000_MinTransProb_0.01_Model_1, 10000, 45418, 285, 2899, 6816, 32, 10, 0.01, 17628, 4.5418, 11.6277, 2.5601523, 5029, 4971, 0.71310747, 0, , , , , 731, 9270, 1, 13.679890560875513, 2, 1, 9270, 9270.0, 2147483637, 0, NaN, 0.0, 0.135, 0.881, 0.039, 0.034
RANDOM_Size_10000_MinTransProb_0.01_Model_10, 10000, 45423, 402, 2842, 6756, 32, 10, 0.01, 17856, 4.5423, 11.7203, 2.5802567, 5006, 4994, 0.71585196, 0, , , , , 695, 9306, 1, 14.388489208633093, 2, 1, 9306, 9306.0, 2147483637, 0, NaN, 0.0, 0.145, 1.8, 0.044, 0.041
RANDOM_Size_10000_MinTransProb_0.01_Model_100, 10000, 45477, 1, 9999, 0, 31, 10, 0.01, 17816, 4.5477, 11.6722, 2.566616, 4972, 5028, 0.71371293, 0, , , , , 680, 9321, 1, 14.705882352941176, 2, 1, 9321, 9321.0, 2147483637, 0, NaN, 0.0, 0.018, 0.025, 0.0, 0.048
RANDOM_Size_10000_MinTransProb_0.01_Model_11, 10000, 45701, 1, 9999, 0, 37, 10, 0.01, 17819, 4.5701, 11.7209, 2.5646923, 5030, 4970, 0.7149195, 0, , , , , 656, 9345, 1, 15.24390243902439, 3, 1, 9345, 9345.0, 2147483637, 0, NaN, 0.0, 0.014, 0.027, 0.001, 0.031
RANDOM_Size_10000_MinTransProb_0.01_Model_12, 10000, 45606, 279, 2898, 6823, 39, 10, 0.01, 17955, 4.5606, 11.7464, 2.575626, 4992, 5008, 0.71770924, 0, , , , , 678, 9323, 1, 14.749262536873156, 2, 1, 9323, 9323.0, 2147483637, 0, NaN, 0.0, 0.156, 1.161, 0.047, 0.031
RANDOM_Size_10000_MinTransProb_0.01_Model_13, 10000, 45782, 334, 3073, 6593, 33, 10, 0.01, 17849, 4.5782, 11.7638, 2.5695252, 4882, 5118, 0.71731925, 0, , , , , 685, 9316, 1, 14.598540145985401, 3, 1, 9316, 9316.0, 2147483637, 0, NaN, 0.0, 0.128, 1.183, 0.042, 0.04
RANDOM_Size_10000_MinTransProb_0.01_Model_14, 10000, 45462, 813, 2972, 6215, 34, 10, 0.01, 17682, 4.5462, 11.636, 2.5595002, 4972, 5028, 0.71387935, 0, , , , , 757, 9244, 1, 13.21003963011889, 3, 1, 9244, 9244.0, 4, 4, 4.0, 4.0, 0.122, 1.06, 0.039, 0.044
RANDOM_Size_10000_MinTransProb_0.01_Model_15, 10000, 45693, 740, 2783, 6477, 35, 10, 0.01, 17999, 4.5693, 11.827, 2.5883615, 4972, 5028, 0.7176883, 0, , , , , 658, 9343, 1, 15.19756838905775, 2, 1, 9343, 9343.0, 4, 4, 4.0, 4.0, 0.162, 1.172, 0.036, 0.033
RANDOM_Size_10000_MinTransProb_0.01_Model_16, 10000, 45559, 460, 2956, 6584, 38, 10, 0.01, 17698, 4.5559, 11.6295, 2.552624, 4982, 5018, 0.7136076, 0, , , , , 710, 9291, 1, 14.084507042253522, 3, 1, 9291, 9291.0, 5, 5, 5.0, 5.0, 0.182, 1.103, 0.04, 0.047
RANDOM_Size_10000_MinTransProb_0.01_Model_17, 10000, 45674, 1, 9999, 0, 31, 10, 0.01, 17797, 4.5674, 11.6727, 2.5556552, 5016, 4984, 0.7124487, 0, , , , , 720, 9281, 1, 13.88888888888889, 2, 1, 9281, 9281.0, 2147483637, 0, NaN, 0.0, 0.016, 0.027, 0.001, 0.04
RANDOM_Size_10000_MinTransProb_0.01_Model_18, 10000, 45706, 270, 2786, 6944, 36, 10, 0.01, 18096, 4.5706, 11.8688, 2.5967708, 5026, 4974, 0.7181771, 1, 4, 4, 4.0, 4.0, 654, 9347, 1, 15.290519877675841, 3, 1, 9347, 9347.0, 2147483637, 0, NaN, 0.0, 0.126, 1.264, 0.044, 0.043
RANDOM_Size_10000_MinTransProb_0.01_Model_19, 10000, 45757, 173, 2991, 6836, 35, 10, 0.01, 17792, 4.5757, 11.7171, 2.560723, 4888, 5112, 0.7150148, 1, 14, 14, 14.0, 14.0, 723, 9278, 1, 13.831258644536653, 2, 1, 9278, 9278.0, 5, 5, 5.0, 5.0, 0.138, 1.463, 0.063, 0.031
RANDOM_Size_10000_MinTransProb_0.01_Model_2, 10000, 45472, 842, 2710, 6448, 32, 10, 0.01, 17858, 4.5472, 11.7288, 2.5793455, 5040, 4960, 0.71630514, 0, , , , , 708, 9293, 1, 14.124293785310735, 2, 1, 9293, 9293.0, 6, 6, 6.0, 6.0, 0.125, 1.356, 0.035, 0.034
RANDOM_Size_10000_MinTransProb_0.01_Model_20, 10000, 45705, 1, 2951, 7048, 36, 10, 0.01, 17913, 4.5705, 11.7772, 2.5767858, 4982, 5018, 0.71614647, 1, 1374, 1374, 1374.0, 1374.0, 682, 9319, 1, 14.662756598240469, 2, 1, 9319, 9319.0, 2147483637, 0, NaN, 0.0, 0.154, 0.185, 0.094, 0.038
RANDOM_Size_10000_MinTransProb_0.01_Model_21, 10000, 45568, 549, 2756, 6695, 30, 10, 0.01, 17707, 4.5568, 11.6485, 2.5562894, 5024, 4976, 0.7156029, 0, , , , , 650, 9351, 1, 15.384615384615385, 2, 1, 9351, 9351.0, 4, 4, 4.0, 4.0, 0.135, 1.035, 0.039, 0.038
RANDOM_Size_10000_MinTransProb_0.01_Model_22, 10000, 45557, 4, 2765, 7231, 33, 10, 0.01, 17831, 4.5557, 11.6797, 2.5637553, 5078, 4922, 0.71511257, 1, 2029, 2029, 2029.0, 2029.0, 682, 9319, 1, 14.662756598240469, 2, 1, 9319, 9319.0, 2147483637, 0, NaN, 0.0, 0.14, 0.409, 0.102, 0.035
RANDOM_Size_10000_MinTransProb_0.01_Model_23, 10000, 45479, 952, 2811, 6237, 33, 10, 0.01, 17643, 4.5479, 11.6123, 2.5533323, 5124, 4876, 0.7141996, 0, , , , , 737, 9264, 1, 13.568521031207599, 2, 1, 9264, 9264.0, 5, 5, 5.0, 5.0, 0.124, 1.502, 0.036, 0.03
RANDOM_Size_10000_MinTransProb_0.01_Model_24, 10000, 45724, 181, 3033, 6786, 35, 10, 0.01, 17838, 4.5724, 11.7537, 2.5705757, 4955, 5045, 0.7156044, 1, 3, 3, 3.0, 3.0, 745, 9256, 1, 13.422818791946309, 2, 1, 9256, 9256.0, 2147483637, 0, NaN, 0.0, 0.12, 1.37, 0.06, 0.046
RANDOM_Size_10000_MinTransProb_0.01_Model_25, 10000, 45652, 517, 2674, 6809, 38, 10, 0.01, 17883, 4.5652, 11.7362, 2.5707965, 5041, 4959, 0.7176002, 0, , , , , 643, 9358, 1, 15.552099533437014, 2, 1, 9358, 9358.0, 5, 5, 5.0, 5.0, 0.161, 1.179, 0.045, 0.034
