Model,#States,BVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP,WP_OVI,WP_P3
RANDOM_Size_10000_MinTransProb_0.01_Model_1,10000,1,1,1,1,532,1,,1089,1089,,,1,457,1303,,,457,,436,,502,146,,151,1
RANDOM_Size_10000_MinTransProb_0.01_Model_10,10000,1,1,1,1,358,1,,1012,1012,,,1,586,1273,,545,586,,631,,645,280,,358,1
RANDOM_Size_10000_MinTransProb_0.01_Model_100,10000,1,1,1,1,2,1,,2,2,,,1,0,0,0,0,0,,0,,0,1,,2,1
RANDOM_Size_10000_MinTransProb_0.01_Model_11,10000,1,1,1,1,2,1,,2,2,,,1,0,0,0,0,0,,0,,0,1,,2,1
RANDOM_Size_10000_MinTransProb_0.01_Model_12,10000,1,1,1,1,694,1,,1051,1051,,,1,416,1270,,372,416,,443,,509,152,,163,1
RANDOM_Size_10000_MinTransProb_0.01_Model_13,10000,1,1,1,1,212,1,,420,420,,,1,331,657,,313,331,,356,,359,82,,89,1
RANDOM_Size_10000_MinTransProb_0.01_Model_14,10000,1,1,1,1,28,1,,40,40,,,1,469,474,,465,469,,474,,481,31,,34,1
RANDOM_Size_10000_MinTransProb_0.01_Model_15,10000,1,1,1,1,98,1,,1195,1195,,,1,1109,1583,,882,1109,,1121,,1080,494,,497,1
RANDOM_Size_10000_MinTransProb_0.01_Model_16,10000,1,1,1,1,141,1,,306,306,,,1,427,618,,396,427,,439,,464,84,,87,1
RANDOM_Size_10000_MinTransProb_0.01_Model_17,10000,1,1,1,1,2,1,,2,2,,,1,0,0,0,0,0,,0,,0,1,,2,1
RANDOM_Size_10000_MinTransProb_0.01_Model_18,10000,1,1,1,1,168,1,,242,242,,,1,286,443,,276,286,,303,,311,72,,85,1
RANDOM_Size_10000_MinTransProb_0.01_Model_19,10000,1,1,1,1,234,1,,464,464,,,1,276,666,,,276,,297,,318,83,,90,1
RANDOM_Size_10000_MinTransProb_0.01_Model_2,10000,1,1,1,1,40,1,,57,57,,,1,474,481,,471,474,,481,,496,47,,50,1
RANDOM_Size_10000_MinTransProb_0.01_Model_20,10000,1,1,1,1,396,1,,525,525,,,1,,,,,18910,,254,,190,113,,122,1
RANDOM_Size_10000_MinTransProb_0.01_Model_21,10000,1,1,1,1,47,1,,167,167,,,1,386,499,,384,386,,402,,398,52,,57,1
RANDOM_Size_10000_MinTransProb_0.01_Model_22,10000,1,1,1,1,581,1,,730,730,,,1,,,,,,,520,,144,279,,286,1
RANDOM_Size_10000_MinTransProb_0.01_Model_23,10000,1,1,1,1,39,1,,57,57,,,1,470,476,,465,470,,476,,486,42,,47,1
