Conf,Model,Verification Time,Number Of Verif. Phases,Iterations in Verif Phase
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_1,6,4,10
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_10,6,3,28
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_100,0,1,1
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_11,0,1,1
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_12,5,4,17
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_13,3,2,11
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_14,1,1,6
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_15,2,2,8
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_16,2,2,9
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_17,0,1,1
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_18,3,2,8
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_19,4,2,37
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_2,2,1,8
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_20,4,3,19
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_21,2,1,11
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_22,7,5,14
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_23,3,1,8
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_24,5,4,12
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_25,2,1,27
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_26,8,6,11
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_27,6,3,11
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_28,2,1,10
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_29,6,4,31
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_3,2,2,4
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_30,3,2,7
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_31,1,1,10
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_32,4,2,15
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_33,5,4,24
G_OVI,RANDOM_Size_10000_MinTransProb_0.01_Model_34,0,1,1
