Model,#States,BVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP,WP_OVI,WP_P3
RANDOM_Size_10000_MinTransProb_0.01_Model_1,10000,1.738,1.514,1.973,1.507,6.49,1.625,2.829,10.616,8.028,13.003,,2.639,496.176,633.92,,,5.243,3.574,4.735,,11.813,3.338,1.318,2.667,1.112
RANDOM_Size_10000_MinTransProb_0.01_Model_10,10000,3.745,2.639,3.549,3.099,6.044,3.129,4.174,10.768,12.987,12.41,,3.914,514.786,580.607,,660.031,10.251,4.424,14.363,,15.08,6.702,3.104,8.635,2.188
RANDOM_Size_10000_MinTransProb_0.01_Model_100,10000,0.067,0.054,0.222,0.058,0.059,0.163,0.128,0.058,0.059,0.095,0.117,0.339,0.073,0.079,0.273,0.337,0.095,0.081,0.118,0.081,0.224,0.237,0.063,0.118,0.053
RANDOM_Size_10000_MinTransProb_0.01_Model_11,10000,0.074,0.059,0.165,0.052,0.051,0.264,0.127,0.058,0.066,0.11,0.117,0.341,0.099,0.084,0.229,0.183,0.086,0.096,0.079,0.09,0.218,0.226,0.075,0.201,0.052
RANDOM_Size_10000_MinTransProb_0.01_Model_12,10000,2.405,1.625,2.361,1.694,5.987,2.142,3.164,11.596,13.69,9.197,,4.028,466.447,694.918,,755.957,6.684,5.639,5.619,,11.91,3.997,2.78,3.822,1.668
RANDOM_Size_10000_MinTransProb_0.01_Model_13,10000,1.749,2.712,2.151,2.074,3.604,2.362,2.958,5.354,6.129,5.653,,2.238,412.236,584.116,,722.721,3.889,6.03,4.961,,6.284,3.536,2.054,2.791,1.987
RANDOM_Size_10000_MinTransProb_0.01_Model_14,10000,1.511,1.913,2.003,1.798,1.741,2.221,2.657,2.815,1.895,4.937,,2.15,361.871,415.764,,441.786,3.056,2.905,3.213,,4.244,3.758,2.011,1.715,1.663
RANDOM_Size_10000_MinTransProb_0.01_Model_15,10000,1.775,2.13,2.158,1.895,2.885,2.77,2.69,15.29,12.882,6.653,,3.158,434.241,468.352,,577.836,15.465,3.868,13.61,,22.66,11.254,2.014,5.098,1.756
RANDOM_Size_10000_MinTransProb_0.01_Model_16,10000,1.496,2.469,2.228,1.799,2.896,1.999,2.993,5.008,5.405,6.983,,3.708,539.28,568.543,,634.287,3.423,3.965,3.885,,10.267,4.322,2.436,2.168,1.606
RANDOM_Size_10000_MinTransProb_0.01_Model_17,10000,0.062,0.079,0.191,0.065,0.058,0.192,0.124,0.094,0.079,0.138,0.102,0.321,0.111,0.097,0.324,0.311,0.073,0.113,0.09,0.097,0.178,0.169,0.061,0.093,0.049
RANDOM_Size_10000_MinTransProb_0.01_Model_18,10000,2.038,2.338,2.865,2.105,3.588,2.21,3.457,5.712,5.252,9.61,,4.461,685.796,615.896,,620.41,3.537,4.402,4.677,,6.913,4.974,2.119,3.977,1.637
RANDOM_Size_10000_MinTransProb_0.01_Model_19,10000,2.635,2.405,3.719,2.394,4.354,2.504,4.857,7.783,5.633,7.273,,4.47,594.72,709.136,,,6.567,5.849,5.405,,9.058,5.41,3.13,4.556,1.693
RANDOM_Size_10000_MinTransProb_0.01_Model_2,10000,2.047,1.883,3.66,2.187,2.096,2.521,3.041,3.126,2.984,5.517,,3.173,450.069,466.824,,446.899,4.18,4.059,3.103,,5.605,4.647,2.16,2.431,1.596
RANDOM_Size_10000_MinTransProb_0.01_Model_20,10000,0.673,0.712,1.118,0.767,4.09,2.587,6.219,5.454,6.253,9.639,,2.091,,,,,708.613,7.983,2.385,,74.428,2.49,0.49,1.776,0.402
RANDOM_Size_10000_MinTransProb_0.01_Model_21,10000,1.665,1.974,2.321,1.743,2.095,2.004,2.842,3.643,3.841,6.248,,3.139,651.188,687.218,,606.986,2.717,2.883,3.596,,4.827,3.344,1.77,2.308,1.347
RANDOM_Size_10000_MinTransProb_0.01_Model_22,10000,0.98,0.985,1.71,1.404,7.3,3.054,7.797,9.514,8.555,,,4.809,,,,,,8.551,7.836,,134.93,5.498,1.093,3.527,0.885
RANDOM_Size_10000_MinTransProb_0.01_Model_23,10000,2.333,2.126,2.942,2.251,3.323,3.125,3.15,2.875,3.129,5.086,,4.684,485.612,351.072,,372.589,3.731,4.602,4.061,,5.664,3.259,2.988,2.93,2.724
RANDOM_Size_10000_MinTransProb_0.01_Model_24,10000,1.928,2.192,3.079,2.311,5.395,3.103,3.715,11.586,9.443,8.685,,4.682,649.418,740.534,,664.813,7.033,4.478,4.777,,12.613,4.509,2.863,3.498,2.173
RANDOM_Size_10000_MinTransProb_0.01_Model_25,10000,1.607,1.868,2.396,1.965,2.83,2.522,2.91,2.753,3.806,6.691,,3.019,,,,665.613,6.06,4.128,4.169,,5.626,3.955,2.188,3.404,1.956
RANDOM_Size_10000_MinTransProb_0.01_Model_26,10000,1.702,1.648,2.441,1.436,8.768,2.201,3.105,13.058,14.078,14.596,,2.288,673.772,652.79,,601.819,17.161,4.461,18.271,,26.516,9.923,1.749,15.718,1.62
RANDOM_Size_10000_MinTransProb_0.01_Model_27,10000,2.581,2.229,2.675,1.944,6.134,2.735,4.073,7.168,7.792,9.995,,3.32,601.671,712.596,,584.677,5.024,5.372,6.41,,10.016,5.147,2.928,3.881,2.24
RANDOM_Size_10000_MinTransProb_0.01_Model_28,10000,2.259,1.886,2.172,1.901,2.305,2.43,2.745,3.906,4.23,7.301,,2.792,546.815,518.583,,488.898,4.889,4.552,3.227,,5.56,2.46,2.635,2.803,2.044
RANDOM_Size_10000_MinTransProb_0.01_Model_29,10000,1.983,2.092,2.437,2.101,6.841,2.318,4.836,10.652,14.776,18.619,,3.106,,692.356,,650.561,9.634,7.199,5.333,,17.03,5.777,2.259,4.128,2.055
RANDOM_Size_10000_MinTransProb_0.01_Model_3,10000,1.827,2.361,2.329,1.501,2.65,2.157,2.549,2.584,3.102,5.288,,2.931,571.571,483.097,,550.604,4.356,3.464,3.609,,5.936,3.527,2.043,2.418,2.01
RANDOM_Size_10000_MinTransProb_0.01_Model_30,10000,2.788,2.228,2.96,2.04,3.575,2.438,4.052,4.673,5.386,8.026,,3.971,691.424,741.879,,628.166,4.561,4.123,5.695,,6.549,3.23,2.461,5.302,2.583
RANDOM_Size_10000_MinTransProb_0.01_Model_31,10000,2.004,1.692,2.269,1.871,1.912,2.37,2.969,3.311,3.272,6.436,,2.514,534.31,386.66,,577.486,4.484,4.245,3.449,,10.494,2.698,2.145,2.964,2.067
RANDOM_Size_10000_MinTransProb_0.01_Model_32,10000,2.304,2.081,2.575,2.301,4.097,3.38,4.138,4.971,6.599,10.382,,4.094,,585.123,,,4.939,5.933,3.872,,8.024,3.926,3.103,3.29,2.434
RANDOM_Size_10000_MinTransProb_0.01_Model_33,10000,1.333,1.306,1.775,1.435,5.189,2.39,6.031,7.615,6.409,12.597,,3.135,,,,,531.413,6.995,7.1,,54.193,3.96,1.774,2.876,1.225
RANDOM_Size_10000_MinTransProb_0.01_Model_34,10000,0.049,0.057,0.211,0.054,0.059,0.176,0.113,0.13,0.082,0.121,0.144,0.284,0.13,0.098,0.286,0.197,0.103,0.096,0.094,0.063,0.252,0.342,0.074,0.121,0.193
RANDOM_Size_10000_MinTransProb_0.01_Model_35,10000,0.658,0.595,1.442,0.634,7.374,1.449,6.256,13.723,14.551,,,1.575,,,,690.456,46.889,6.71,4.433,,26.34,4.324,0.528,2.39,0.498
RANDOM_Size_10000_MinTransProb_0.01_Model_36,10000,1.289,1.204,1.666,1.265,9.167,2.087,7.039,22.012,26.412,19.828,,3.152,,725.208,,,78.58,7.658,7.572,,42.115,6.43,1.106,18.058,1.057
RANDOM_Size_10000_MinTransProb_0.01_Model_37,10000,1.675,2.378,2.327,1.653,5.669,2.778,3.729,10.93,8.729,18.045,,3.381,714.187,589.251,,627.58,9.24,4.727,7.782,,11.483,4.136,2.038,6.168,1.966
RANDOM_Size_10000_MinTransProb_0.01_Model_38,10000,2.213,2.331,2.834,2.606,10.231,2.723,2.924,24.915,20.373,14.044,,3.901,,732.855,,664.286,44.813,4.246,29.911,,87.6,8.997,2.176,18.71,1.986
RANDOM_Size_10000_MinTransProb_0.01_Model_39,10000,2.304,2.189,2.208,1.768,3.329,1.998,2.458,5.984,5.227,4.453,,2.659,508.856,370.431,,392.77,3.434,3.585,3.448,,5.108,3.962,1.788,5.727,1.697
RANDOM_Size_10000_MinTransProb_0.01_Model_4,10000,2.231,1.617,2.314,2.26,7.884,2.598,7.305,14.985,15.575,15.55,,4.145,,669.377,,,17.337,9.76,8.475,,30.982,4.305,2.382,4.233,1.681
RANDOM_Size_10000_MinTransProb_0.01_Model_40,10000,1.94,1.861,2.329,2.257,3.39,2.169,3.835,4.048,7.027,11.535,,4.231,,695.42,,644.069,6.062,8.505,3.772,,6.208,3.308,2.01,2.964,2.664
RANDOM_Size_10000_MinTransProb_0.01_Model_41,10000,0.066,0.052,0.243,0.059,0.06,0.176,0.13,0.055,0.058,0.089,0.162,0.228,0.078,0.079,0.261,0.204,0.101,0.086,0.087,0.058,0.202,0.184,0.092,0.112,0.063
RANDOM_Size_10000_MinTransProb_0.01_Model_42,10000,1.409,1.148,2.303,1.263,108.887,2.452,7.841,243.511,308.586,,,2.504,,,,,,7.144,32.14,,25.65,4.601,0.983,3.118,0.937
RANDOM_Size_10000_MinTransProb_0.01_Model_43,10000,3.751,3.886,3.26,3.132,13.409,3.987,6.737,13.469,18.464,14.443,,4.176,,601.806,,,17.67,7.684,9.005,,32.291,6.665,3.487,18.127,3.373
RANDOM_Size_10000_MinTransProb_0.01_Model_44,10000,3.28,3.152,3.689,3.513,3.877,3.453,4.681,5.356,6.52,10.786,,5.164,,483.055,,584.433,5.724,5.266,5.402,,7.618,5.15,3.048,5.919,2.751
RANDOM_Size_10000_MinTransProb_0.01_Model_45,10000,0.069,0.055,0.288,0.057,0.067,0.191,0.113,0.054,0.052,0.107,0.101,0.21,0.139,0.071,0.247,0.181,0.085,0.084,0.077,0.061,0.23,0.212,0.075,0.102,0.059
RANDOM_Size_10000_MinTransProb_0.01_Model_46,10000,1.628,1.438,1.677,1.346,8.412,2.465,7.974,12.384,12.224,18.925,,3.267,,684.028,,705.968,19.787,7.38,8.721,,42.124,4.843,1.517,4.396,1.571
RANDOM_Size_10000_MinTransProb_0.01_Model_47,10000,0.652,0.604,1.014,0.64,75.868,1.722,8.709,91.52,92.458,32.2,,2.164,,,,,,9.187,19.157,,55.649,7.557,0.429,6.944,0.603
RANDOM_Size_10000_MinTransProb_0.01_Model_48,10000,2.081,1.797,2.425,2.003,8.412,2.215,4.161,9.951,9.915,18.98,,4.506,,615.139,,628.021,10.559,6.247,8.346,,12.942,6.935,1.729,7.134,1.623
RANDOM_Size_10000_MinTransProb_0.01_Model_49,10000,309.64,,22.902,234.495,29.759,86.226,6.722,46.479,44.857,82.424,,164.014,,,,,466.597,6.749,86.437,,138.407,34.043,109.923,49.663,118.612
