Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_1, 10000, 68285, 1, 3493, 6506, 79, 9, 1.0E-4, 50375, 6.8285, 15.4873, 2.2680383, 4980, 5020, 0.15645723, 2, 157, 19, 88.0, 88.0, 1146, 8855, 1, 8.726003490401396, 2, 1, 8855, 8855.0, 2147483637, 0, NaN, 0.0, 0.215, 0.493, 0.139, 0.081
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_10, 10000, 68104, 1, 3251, 6748, 78, 8, 1.0E-4, 50327, 6.8104, 15.4617, 2.270307, 5040, 4960, 0.15509938, 1, 676, 676, 676.0, 676.0, 1102, 8899, 1, 9.074410163339383, 2, 1, 8899, 8899.0, 2147483637, 0, NaN, 0.0, 0.275, 0.586, 0.118, 0.043
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_100, 10000, 68014, 1, 3222, 6777, 82, 9, 1.0E-4, 50292, 6.8014, 15.4638, 2.2736201, 5015, 4985, 0.15496191, 1, 262, 262, 262.0, 262.0, 1119, 8882, 1, 8.936550491510276, 2, 1, 8882, 8882.0, 2147483637, 0, NaN, 0.0, 0.238, 1.454, 0.102, 0.051
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_11, 10000, 68371, 1, 3459, 6540, 78, 10, 1.0E-4, 50507, 6.8371, 15.5212, 2.2701437, 4974, 5026, 0.15445326, 3, 124, 1, 42.666666666666664, 3.0, 1135, 8866, 1, 8.810572687224669, 2, 1, 8866, 8866.0, 3, 3, 3.0, 3.0, 0.259, 0.61, 0.123, 0.099
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_12, 10000, 68437, 1, 3486, 6513, 95, 10, 1.0E-4, 50443, 6.8437, 15.505, 2.2655873, 4986, 5014, 0.1565237, 1, 634, 634, 634.0, 634.0, 1124, 8877, 1, 8.896797153024911, 2, 1, 8877, 8877.0, 3, 3, 3.0, 3.0, 0.362, 0.731, 0.115, 0.086
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_13, 10000, 68311, 1, 3346, 6653, 81, 9, 1.0E-4, 50396, 6.8311, 15.4693, 2.2645402, 5047, 4953, 0.15526882, 1, 499, 499, 499.0, 499.0, 1097, 8904, 1, 9.115770282588878, 2, 1, 8904, 8904.0, 3, 3, 3.0, 3.0, 0.428, 1.293, 0.173, 0.046
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_14, 10000, 68072, 3, 3419, 6578, 80, 9, 1.0E-4, 50503, 6.8072, 15.4787, 2.273872, 4981, 5019, 0.15670566, 2, 276, 3, 139.5, 139.5, 1075, 8926, 1, 9.30232558139535, 2, 1, 8926, 8926.0, 2147483637, 0, NaN, 0.0, 0.293, 1.654, 0.171, 0.192
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_15, 10000, 68314, 1, 3446, 6553, 80, 8, 1.0E-4, 50326, 6.8314, 15.4627, 2.2634745, 5040, 4960, 0.15601414, 2, 467, 1, 234.0, 234.0, 1118, 8883, 1, 8.94454382826476, 2, 1, 8883, 8883.0, 2147483637, 0, NaN, 0.0, 0.247, 0.512, 0.115, 0.058
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_16, 10000, 68484, 132, 3391, 6477, 78, 9, 1.0E-4, 50502, 6.8484, 15.4983, 2.2630541, 4928, 5072, 0.15526864, 2, 49, 6, 27.5, 27.5, 1142, 8859, 1, 8.756567425569177, 2, 1, 8859, 8859.0, 2147483637, 0, NaN, 0.0, 0.273, 1.959, 0.192, 0.091
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_17, 10000, 68421, 234, 3324, 6442, 83, 9, 1.0E-4, 50616, 6.8421, 15.5611, 2.2743163, 4962, 5038, 0.15683338, 1, 4, 4, 4.0, 4.0, 1083, 8918, 1, 9.233610341643583, 2, 1, 8918, 8918.0, 2147483637, 0, NaN, 0.0, 0.24, 2.313, 0.082, 0.054
