Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,VI,WP_P3
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_1,10000,1,1,1,484,,660,,,1293,1293,,662,,395,1
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_10,10000,1,1,1,487,,610,,,5029,5029,,620,,350,1
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_100,10000,1,1,1,481,,586,,,,,,346,,228,1
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_11,10000,1453,1464,1053,537,,1278,,,1501,1501,,264,,188,180
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_12,10000,9567,,6417,791,,1458,,,9632,9632,,657,,417,522
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_13,10000,15894,,11686,341,,660,,,15941,,,254,,171,149
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_14,10000,1,1,1,2175,,2691,,,2092,2522,,2582,,1156,1
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_15,10000,1,1,1,1850,,3636,,,11346,11346,,1085,,534,1
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_16,10000,1,1,1,199,,457,,,81,115,,144,,87,1
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_17,10000,1,1,1,228,,309,,,94,128,,163,,95,1
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_18,10000,1,1,1,2457,,2767,,,2919,2919,,2771,,1670,1
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_19,10000,1,1,1,414,,591,,,6157,9227,,230,,159,1
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_2,10000,1,1,1,916,,667,,,2245,2245,,636,,409,1
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_20,10000,805,11300,607,283,,371,,,833,833,,,,140,128
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_21,10000,302,1312,246,552,,843,,,329,329,,244,,150,126
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_22,10000,7368,,5642,7861,,12321,,,,12630,,522,,118,2464
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_23,10000,1,1,1,501,,586,,,151,209,,214,,130,1
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_24,10000,1,1,1,379,,1024,,,1432,1921,,225,,151,1
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_25,10000,248,1906,187,428,,510,,,283,283,,326,,225,248
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_26,10000,1,1,1,436,,892,,,1302,1302,,286,,177,1
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_27,10000,1,1,1,1543,,2076,,,,,,2066,,1245,1
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_28,10000,1,1,1,447,,564,,,2164,2164,,481,,267,1
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_29,10000,831,35106,746,1332,,1733,,,1026,1026,,1177,,617,281
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_3,10000,362,3001,291,414,,565,,,406,406,,141,,115,80
