Conf,Model,Verification Time,Number Of Verif. Phases,Iterations in Verif Phase,NumAborted,NumInduceLowerBound,NumFailedVerif
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_1,4,5,52,4,4,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_10,5,5,31,4,4,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_100,8,4,14,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_11,7,3,41,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_12,8,5,43,4,4,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_13,4,3,28,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_14,24,9,20,8,8,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_15,22,7,19,6,6,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_16,4,2,16,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_17,5,2,9,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_18,26,9,17,8,8,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_19,6,3,21,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_2,9,6,13,5,5,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_20,3,3,22,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_21,8,3,26,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_22,69,12,16,11,11,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_23,7,3,21,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_24,4,3,18,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_25,5,4,14,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_26,5,3,72,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_27,14,8,23,7,7,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_28,4,5,24,4,4,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_29,12,7,15,6,6,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_3,5,3,17,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30,18,8,27,7,7,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_31,6,5,46,4,4,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_32,6,5,21,4,4,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_33,3,2,16,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_34,8,4,16,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_35,7,3,23,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_36,4,3,20,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_37,4,4,69,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_38,6,5,12,4,4,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_39,8,3,63,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_4,13,6,11,5,5,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_40,7,5,19,4,4,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_41,8,2,71,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_42,7,4,18,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_43,6,3,31,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_44,3,2,22,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_45,7,6,20,5,5,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_46,9,4,21,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_47,22,5,15,4,4,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_48,14,5,12,4,4,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_49,7,3,40,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_5,3,2,40,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_50,4,2,13,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_51,12,6,25,5,5,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_52,2,1,37,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_53,4,2,14,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_54,5,4,19,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_55,16,3,34,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_56,14,4,24,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_57,177,13,18,12,12,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_58,6,5,21,4,4,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_59,3,2,13,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_6,5,3,26,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_60,4,4,15,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_61,16,8,39,7,7,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_62,4,3,35,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_63,5,3,19,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_64,3,4,34,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_65,14,8,20,7,7,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_66,4,2,13,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_67,3,2,33,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_68,4,3,23,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_69,4,3,17,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_7,68,11,23,10,10,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_70,5,5,13,4,4,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_71,6,4,11,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_72,9,4,35,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_73,4,3,14,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74,10,7,28,6,6,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_75,15,6,12,5,5,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_76,105,12,20,11,11,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_77,6,3,22,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_78,17,8,32,7,7,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_79,4,3,31,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_8,10,5,25,4,4,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_80,5,3,12,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_81,6,3,32,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_82,8,7,20,6,6,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_83,3,2,12,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_84,6,4,23,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_85,5,3,34,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_86,3,2,24,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_87,5,5,37,4,4,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_88,14,4,26,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89,10,7,22,6,6,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_9,6,6,22,5,5,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_90,3,2,19,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_91,7,5,15,4,4,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_92,3,2,32,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_93,13,5,17,4,4,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_94,4,3,12,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_95,7,4,19,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_96,7,4,18,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_97,3,2,20,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_98,10,6,22,5,5,0
G_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_99,8,5,18,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_1,7,5,100,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_10,6,5,79,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_100,7,4,36,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_11,12,4,24,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_12,14,6,40,5,5,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_13,9,4,17,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_14,26,9,31,8,8,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_15,38,7,20,6,6,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_16,6,3,17,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_17,5,2,20,1,1,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_18,31,9,29,8,8,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_19,8,3,42,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_2,8,6,37,5,5,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_20,5,3,63,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_21,10,3,57,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_22,128,12,23,11,11,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_23,7,3,41,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_24,11,4,27,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_25,6,4,31,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_26,9,4,24,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_27,21,8,97,7,7,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_28,8,5,41,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_29,18,7,22,6,6,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_3,7,3,30,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30,28,9,30,8,8,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_31,16,6,27,5,5,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_32,13,6,23,5,5,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_33,4,2,44,1,1,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_34,10,4,26,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_35,12,4,21,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_36,9,4,24,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_37,9,5,26,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_38,7,5,42,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_39,11,4,33,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_4,18,6,13,5,5,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_40,7,5,37,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_41,17,3,20,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_42,8,4,28,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_43,7,3,41,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_44,4,2,32,1,1,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_45,10,7,25,6,6,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_46,10,4,50,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_47,22,5,33,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_48,15,5,20,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_49,9,4,25,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_5,6,3,18,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_50,6,3,13,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_51,19,6,36,5,5,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_52,3,1,68,0,0,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_53,8,3,12,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_54,9,5,23,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_55,17,4,28,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_56,14,4,53,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_57,250,13,47,12,12,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_58,7,5,37,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_59,5,3,10,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_6,8,4,23,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_60,4,4,42,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_61,24,8,370,7,7,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_62,7,4,24,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_63,10,5,27,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_64,8,5,30,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_65,19,8,90,7,7,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_66,5,3,16,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_67,7,3,14,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_68,6,3,49,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_69,16,6,27,5,5,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_7,106,11,46,10,10,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_70,10,6,14,5,5,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_71,9,4,16,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_72,14,4,35,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_73,6,3,19,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74,12,7,53,6,6,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_75,19,6,24,5,5,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_76,132,12,28,11,11,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_77,7,3,45,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_78,26,9,35,8,8,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_79,9,4,25,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_8,9,5,95,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_80,6,3,13,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_81,11,4,26,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_82,12,8,23,7,7,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_83,3,2,24,1,1,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_84,14,5,35,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_85,9,4,37,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_86,6,3,21,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_87,10,6,31,5,5,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_88,15,4,40,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89,9,7,30,6,6,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_9,15,7,19,6,6,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_90,4,2,33,1,1,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_91,8,5,35,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_92,5,3,12,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_93,10,5,70,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_94,5,3,14,2,2,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_95,5,4,60,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_96,8,5,24,4,4,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_97,6,4,14,3,3,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_98,9,6,34,5,5,0
OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_99,8,6,21,5,5,0
T_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_1,10,7,57,6,1,5
T_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_10,9,7,30,6,1,5
T_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_100,6,4,63,3,1,2
T_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_11,4,4,35,3,1,2
T_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_12,8,6,51,5,3,2
T_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_13,7,5,40,4,0,4
T_OVI,RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_14,38,9,32,8,6,2
