Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,VI,WP_P3
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_1,10000,1.137,1.241,0.962,4.782,12.606,7.259,9.804,,32.139,38.429,12.677,10.134,,4.121,1.189
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_10,10000,1.085,1.131,1.23,5.773,15.718,6.599,,,157.235,206.887,19.304,9.379,,3.75,1.128
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_100,10000,1.701,1.982,2.515,8.571,18.48,7.868,,,,,17.503,6.584,,3.321,1.639
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_11,10000,29.706,26.047,25.659,7.075,14.075,12.365,,,34.097,46.74,13.928,4.584,,2.939,6.799
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_12,10000,290.417,,190.722,8.883,16.264,14.574,,,325.594,362.159,18.097,8.82,,4.21,16.12
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_13,10000,457.113,,318.925,4.835,12.958,9.127,,,506.686,,13.91,7.408,,3.103,5.095
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_14,10000,1.88,1.907,1.993,24.439,13.477,26.745,,,52.099,73.652,16.241,38.107,,10.194,2.747
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_15,10000,0.999,1.112,0.991,22.035,13.661,38.335,,,347.918,409.349,17.077,17.42,,5.09,0.97
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_16,10000,2.252,2.4,2.246,4.246,11.794,6.084,11.697,,4.763,4.835,13.55,4.872,,2.766,3.041
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_17,10000,3.093,2.895,3.267,5.152,9.159,5.703,11.257,,5.229,5.726,10.776,5.196,,3.489,2.942
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_18,10000,1.301,1.339,1.354,26.878,18.734,31.625,,,105.203,103.742,25.57,28.68,,15.423,1.201
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_19,10000,4.039,2.383,2.62,6.995,13.136,8.223,,,132.068,215.262,16.387,5.35,,3.666,3.03
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_2,10000,1.285,1.205,1.217,9.702,15.239,8.286,,,56.482,76.181,16.803,9.325,,4.922,1.276
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_20,10000,17.911,226.413,13.517,3.689,19.706,5.063,,,21.628,23.552,30.155,,,2.163,6.227
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_21,10000,9.809,26.068,7.379,8.682,13.831,10.71,,,11.01,10.913,19.068,8.143,,3.537,5.39
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_22,10000,209.104,,149.418,69.075,16.17,128.232,,,,379.929,19.573,8.462,,2.082,58.991
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_23,10000,2.279,2.466,2.124,7.106,12.273,7.834,,,8.133,9.75,13.431,6.258,,3.44,2.159
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_24,10000,0.872,0.788,0.954,4.487,9.461,11.314,11.992,,34.565,50.048,9.112,4.442,,2.021,0.861
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_25,10000,7.996,40.788,7.953,5.733,13.454,6.794,,,10.388,10.512,16.302,8.288,,3.675,9.555
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_26,10000,1.01,0.988,0.985,5.091,15.509,9.224,,,35.96,47.267,19.781,5.351,,2.807,1.476
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_27,10000,1.989,2.245,1.776,14.867,19.667,21.948,,,,,18.431,31.579,,11.93,2.071
