Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,VI,WP_P3
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_1,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_10,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_100,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_11,10000,0.6853434961647675,0.6853434961647675,0.6853434961647675,0.6853434950249951,0.6853434961647572,0.6853434961647678,,,0.6853434961647582,0.6853434961647675,0.6853434961647572,0.6853434966758986,,0.685342958387694,0.6853425605761803
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_12,10000,0.44893421785697496,,0.44893421785697496,0.44893418295590104,0.4489342178567452,0.4489342151344416,,,0.4489342178569636,0.44893421785697496,0.4489342178567452,0.4489341814488673,,0.44892456459881214,0.44893322992273355
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_13,10000,0.5939763531575281,,0.5939763531575281,0.5939763487509486,0.5939763531571361,0.5939763531575255,,,0.5939763531566236,,0.5939763531571361,0.5939763525292922,,0.5939761424669686,0.5939753697832226
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_14,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_15,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_16,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_17,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_18,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_19,10000,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_2,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_20,10000,0.46212994216203057,0.46212994216203057,0.46212994216203057,0.46212993497999694,0.46212994216201797,0.4621299061384868,,,0.46212994216202397,0.46212994216203057,0.46212994216201797,,,0.46212958326460196,0.46212896035538314
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_21,10000,0.964181750934757,0.9641817509348499,0.9641817509348425,0.9641817509348499,0.964181750934848,0.9641817509348496,,,0.9641817509348379,0.964181750934842,0.964181750934848,0.9641817509159568,,0.964181647166214,0.9641807965936848
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_22,10000,0.9372369124877566,,0.9372369631935854,0.9372370048740305,0.9372370061341311,0.9372370014618434,,,,0.9372369987555436,0.9372370061341311,0.9372348435424893,,0.9372338597111823,0.937236006525421
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_23,10000,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_24,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_25,10000,0.9788648582691112,0.9788658566248569,0.9788648806804789,0.978865856623129,0.9788658566248358,0.9788658298420538,,,0.9788658566248432,0.9788656848189582,0.9788658566248358,0.9788658414433544,,0.9788626792301777,0.9788648582691112
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_26,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_27,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_28,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_29,10000,0.8826819224247449,0.8826819252879277,0.882681923955681,0.8826819251529409,0.882681925287849,0.8826819251500295,,,0.8826819252879405,0.8826819249269765,0.882681925287849,0.8826819252518695,,0.8826818974704893,0.8826809368042874
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_3,10000,0.9283896683545618,0.9283896683545618,0.9283896683545618,0.9283896683545618,0.9283896683545628,0.9283896683530591,0.9283896683680712,,0.9283896683545514,0.9283896683545618,0.9283896683545628,0.928390592536923,,0.9283896568091422,0.9283887128202032
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30,10000,,,,0.674303078929803,0.6743033818963099,0.6743033596986656,,,,,0.6743033818963099,0.6743033624433893,,0.6741948908906003,0.6743023847905039
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_31,10000,0.9498665005114317,0.9498674792461115,0.949866564126808,0.9498672003003625,0.9498674792456205,0.9498674792445836,,,0.9498674792469118,0.9498672084334878,0.9498674792456205,0.9498674397227882,,0.9498555458239816,0.9498665005114317
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_32,10000,0.9738786657048041,0.9738796537360399,0.9738786799790526,0.9738795925284132,0.9738796537354141,0.9738796537360399,,,0.9738796537359113,0.9738793784379471,0.9738796537354141,0.9738796193037267,,0.9738686407201559,0.9738786657048041
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_33,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_34,10000,0.5331100793542134,,0.5331100793542134,0.5331100787357244,0.5331100793540675,0.5331100789175767,,,0.5331100793541935,0.5331100793542134,0.5331100793540675,0.533110586594653,,0.5331100408844486,0.5331094563343927
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_35,10000,0.967045287929012,,0.967045287929012,0.9670452879290008,0.9670452879290109,0.9670452879290116,,,0.9670452879290107,0.967045287929012,0.9670452879290109,0.9670461444318061,,0.9670451343787303,0.9670443611301655
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_36,10000,0.9119939181045739,0.9119939181045739,0.9119939181045739,0.9119939120691296,0.911993918104568,0.9119939181045736,,,0.9119939181045534,0.9119939181045739,0.911993918104568,0.9119939172203869,,0.911993531576513,0.9119929537314913
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_37,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_38,10000,0.8093485881451705,,0.8093485881451705,0.8093485848381899,0.809348588145152,0.8093485329405167,,,0.809348588145035,0.8093485881451705,0.809348588145152,0.8093485870581951,,0.8093422917575781,0.8093476169889925
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_39,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_4,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_40,10000,0.9547163628489423,0.9547169112184468,0.9547164354046129,0.9547169103668938,0.9547169112182703,0.9547168059954904,,,0.9547169112184214,0.9547167733235784,0.9547169112182703,0.9547168664046585,,0.9547099717937438,0.954715934943809
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_41,10000,0.1948162478273172,,0.1948162478273172,0.19481624782564222,0.19481624782732973,0.19481624782731732,,,0.19481624782731696,0.1948162478273172,0.19481624782732973,0.1948162478218084,,0.19481623184350505,0.19481530224476415
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_42,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_43,10000,0.9007162281974607,0.9007162281974607,0.9007162281974607,0.900716228197461,0.9007162281974596,0.900716228197461,0.9007162297759268,,0.9007162281974579,0.9007162281974607,0.9007162281974596,0.9007162281973113,,0.9007162259023972,0.9007152561048501
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_44,10000,0.9901053222405616,0.9901053222614815,0.9901053222613379,0.9901053221959086,0.9901053222614813,0.9901053221896506,,,0.9901053222614791,0.9901053222614662,0.9901053222614813,0.9901053222475936,,0.9901053205611404,0.9901043749339696
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_45,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_46,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_47,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_48,10000,0.9109638539822692,0.9109639583532028,0.9109639559489142,0.9109639581178337,0.9109639583530176,0.9109639577840984,,,0.9109639583531633,0.9109639560457593,0.9109639583530176,0.9109639507260292,,0.9109626788978481,0.9109629737877202
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_49,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_5,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
