Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_1, 10000, 26727, 1, 9999, 0, 22, 10, 0.001, 7079, 2.6727, 6.6616, 2.4924607, 5077, 4923, 0.64900327, 0, , , , , 2023, 7978, 1, 4.9431537320810675, 4, 1, 7978, 7978.0, 2147483637, 0, NaN, 0.0, 0.01, 0.019, 0.001, 0.035
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_10, 10000, 26642, 6, 4210, 5784, 20, 10, 0.001, 6944, 2.6642, 6.5567, 2.461039, 5052, 4948, 0.641954, 1, 15, 15, 15.0, 15.0, 2101, 7900, 1, 4.75963826749167, 4, 1, 7900, 7900.0, 6, 6, 6.0, 6.0, 0.11, 0.135, 0.046, 0.023
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_100, 10000, 26829, 11, 4101, 5888, 22, 10, 0.001, 7021, 2.6829, 6.6337, 2.4725857, 5057, 4943, 0.6435021, 0, , , , , 2035, 7966, 1, 4.914004914004914, 4, 1, 7966, 7966.0, 2147483637, 0, NaN, 0.0, 0.114, 0.328, 0.035, 0.03
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_11, 10000, 26659, 4, 4152, 5844, 21, 10, 0.001, 7009, 2.6659, 6.6238, 2.4846394, 4957, 5043, 0.643543, 1, 19, 19, 19.0, 19.0, 2018, 7983, 1, 4.955401387512389, 3, 1, 7983, 7983.0, 2147483637, 0, NaN, 0.0, 0.105, 0.135, 0.043, 0.024
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_12, 10000, 26699, 2, 9998, 0, 21, 10, 0.001, 6898, 2.6699, 6.5684, 2.460167, 5040, 4960, 0.63936424, 0, , , , , 2068, 7933, 1, 4.835589941972921, 4, 1, 7933, 7933.0, 2147483637, 0, NaN, 0.0, 0.02, 0.028, 0.001, 0.046
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_13, 10000, 26607, 1, 9999, 0, 27, 10, 0.001, 6934, 2.6607, 6.5593, 2.4652536, 5055, 4945, 0.63929075, 0, , , , , 2118, 7883, 1, 4.721435316336166, 5, 1, 7883, 7883.0, 2147483637, 0, NaN, 0.0, 0.01, 0.018, 0.0, 0.045
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_14, 10000, 26540, 27, 4235, 5738, 24, 10, 0.001, 6954, 2.654, 6.5559, 2.470196, 4921, 5079, 0.6426883, 0, , , , , 2099, 7902, 1, 4.764173415912339, 4, 1, 7902, 7902.0, 2147483637, 0, NaN, 0.0, 0.087, 0.316, 0.03, 0.03
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_15, 10000, 26746, 2, 4244, 5754, 26, 10, 0.001, 6961, 2.6746, 6.5778, 2.4593585, 5038, 4962, 0.6398036, 0, , , , , 2181, 7820, 1, 4.5850527281063735, 4, 1, 7820, 7820.0, 2147483637, 0, NaN, 0.0, 0.108, 0.122, 0.044, 0.031
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_16, 10000, 26693, 6, 4086, 5908, 24, 10, 0.001, 7063, 2.6693, 6.6506, 2.4915147, 5025, 4975, 0.6465131, 0, , , , , 2012, 7989, 1, 4.970178926441352, 3, 1, 7989, 7989.0, 2147483637, 0, NaN, 0.0, 0.097, 0.281, 0.036, 0.029
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_17, 10000, 26575, 1, 4102, 5897, 23, 10, 0.001, 6950, 2.6575, 6.5676, 2.4713452, 4998, 5002, 0.641254, 0, , , , , 2099, 7902, 1, 4.764173415912339, 3, 1, 7902, 7902.0, 2147483637, 0, NaN, 0.0, 0.096, 0.112, 0.037, 0.023
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_18, 10000, 26701, 2, 4181, 5817, 22, 10, 0.001, 7036, 2.6701, 6.62, 2.479308, 4981, 5019, 0.6426586, 0, , , , , 2079, 7922, 1, 4.81000481000481, 4, 1, 7922, 7922.0, 2147483637, 0, NaN, 0.0, 0.1, 0.135, 0.04, 0.032
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_19, 10000, 26763, 30, 3979, 5991, 23, 10, 0.001, 7083, 2.6763, 6.6652, 2.4904532, 4994, 5006, 0.64706236, 0, , , , , 2013, 7988, 1, 4.967709885742672, 4, 1, 7988, 7988.0, 10, 10, 10.0, 10.0, 0.117, 0.598, 0.034, 0.026
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_2, 10000, 26684, 3, 4141, 5856, 22, 10, 0.001, 7022, 2.6684, 6.6327, 2.4856467, 4987, 5013, 0.64411175, 0, , , , , 2009, 7992, 1, 4.9776007964161275, 4, 1, 7992, 7992.0, 2147483637, 0, NaN, 0.0, 0.076, 0.116, 0.032, 0.025
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_20, 10000, 26768, 3, 4048, 5949, 23, 10, 0.001, 7059, 2.6768, 6.6643, 2.489652, 5028, 4972, 0.64567924, 1, 11, 11, 11.0, 11.0, 2028, 7973, 1, 4.930966469428008, 3, 1, 7973, 7973.0, 6, 6, 6.0, 6.0, 0.091, 0.153, 0.039, 0.025
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_21, 10000, 26835, 2, 9998, 0, 23, 10, 0.001, 7008, 2.6835, 6.6407, 2.4746413, 4937, 5063, 0.6426732, 0, , , , , 2174, 7827, 1, 4.599816007359705, 4, 1, 7827, 7827.0, 2147483637, 0, NaN, 0.0, 0.025, 0.026, 0.0, 0.04
