Model,#States,BVI
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_1,10000,0.039
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_10,10000,1.334
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_100,10000,0.526
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_11,10000,0.29
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_12,10000,0.056
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_13,10000,0.037
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_14,10000,0.467
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_15,10000,0.294
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_16,10000,0.458
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_17,10000,0.295
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_18,10000,0.29
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_19,10000,0.703
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_2,10000,0.237
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_20,10000,3.869
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_21,10000,0.061
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_22,10000,0.437
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_23,10000,0.438
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_24,10000,0.043
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_25,10000,0.327
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_26,10000,0.087
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_27,10000,21.964
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_28,10000,0.504
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_29,10000,0.354
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_3,10000,0.481
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_30,10000,0.039
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_31,10000,2.002
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_32,10000,0.251
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_33,10000,
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_34,10000,0.276
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_35,10000,0.473
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_36,10000,6.779
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_37,10000,0.557
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_38,10000,0.037
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_39,10000,0.487
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_4,10000,0.038
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_40,10000,0.653
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_41,10000,0.038
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_42,10000,0.073
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_43,10000,0.043
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_44,10000,0.272
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_45,10000,0.043
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_46,10000,0.52
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_47,10000,0.309
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_48,10000,0.527
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_49,10000,0.621
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_5,10000,0.078
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_50,10000,0.491
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_51,10000,0.303
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_52,10000,9.71
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_53,10000,0.036
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_54,10000,0.694
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_55,10000,0.927
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_56,10000,31.818
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_57,10000,23.755
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_58,10000,0.033
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_59,10000,0.288
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_6,10000,0.43
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_60,10000,0.037
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_61,10000,0.041
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_62,10000,0.497
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_63,10000,0.036
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_64,10000,34.134
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_65,10000,24.408
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_66,10000,0.056
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_67,10000,0.043
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_68,10000,25.475
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_69,10000,0.057
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_7,10000,0.373
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_70,10000,0.053
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_71,10000,0.037
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_72,10000,0.416
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_73,10000,0.412
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_74,10000,0.038
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_75,10000,23.693
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_76,10000,0.037
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_77,10000,0.039
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_78,10000,0.471
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_79,10000,0.038
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_8,10000,0.5
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_80,10000,0.033
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_81,10000,5.84
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_82,10000,0.041
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_83,10000,0.038
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_84,10000,0.544
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_85,10000,0.039
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_86,10000,0.039
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_87,10000,0.548
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_88,10000,0.694
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_89,10000,0.041
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_9,10000,0.657
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_90,10000,4.267
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_91,10000,0.062
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_92,10000,0.053
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_93,10000,0.056
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_94,10000,10.938
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_95,10000,0.043
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_96,10000,0.475
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_97,10000,0.07
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_98,10000,0.038
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_99,10000,2.641
