Model,#States,BVI
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_1,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_10,10000,0.8585795382982563
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_100,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_11,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_12,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_13,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_14,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_15,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_16,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_17,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_18,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_19,10000,1.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_2,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_20,10000,0.6376826281561281
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_21,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_22,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_23,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_24,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_25,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_26,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_27,10000,0.902888491353274
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_28,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_29,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_3,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_30,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_31,10000,0.5997680076791695
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_32,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_33,10000,
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_34,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_35,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_36,10000,0.9993495960576289
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_37,10000,1.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_38,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_39,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_4,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_40,10000,1.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_41,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_42,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_43,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_44,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_45,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_46,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_47,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_48,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_49,10000,1.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_5,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_50,10000,1.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_51,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_52,10000,0.4203510675692644
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_53,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_54,10000,1.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_55,10000,1.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_56,10000,0.21291958284887874
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_57,10000,0.36097651562893285
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_58,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_59,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_6,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_60,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_61,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_62,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_63,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_64,10000,0.5095633078899735
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_65,10000,0.2783865957439019
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_66,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_67,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_68,10000,0.6376358993487212
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_69,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_7,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_70,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_71,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_72,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_73,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_74,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_75,10000,0.005910067078206797
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_76,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_77,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_78,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_79,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_8,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_80,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_81,10000,0.0798335684287641
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_82,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_83,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_84,10000,1.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_85,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_86,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_87,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_88,10000,1.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_89,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_9,10000,1.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_90,10000,0.10683667048677413
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_91,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_92,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_93,10000,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_94,10000,0.6040441406974731
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_95,10000,0.0
