Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_1, 10002, 68452, 1, 3145, 6856, 88, 5, 1.0E-4, 50546, 6.843831, 15.482703, 2.262286, 5041, 4961, 0.15533586, 1, 1085, 1085, 1085.0, 1085.0, 1109, 8894, 1, 9.018935978358883, 3, 1, 8894, 8894.0, 4, 4, 4.0, 4.0, 0.345, 0.7, 0.198, 0.084
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_10, 10002, 68646, 1, 3187, 6814, 85, 5, 1.0E-4, 50892, 6.8632274, 15.524195, 2.261938, 5055, 4947, 0.15736155, 3, 394, 2, 135.0, 9.0, 1057, 8946, 1, 9.46263008514664, 3, 1, 8946, 8946.0, 2147483637, 0, NaN, 0.0, 0.299, 0.393, 0.14, 0.047
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_100, 10002, 68732, 1, 3279, 6722, 81, 5, 1.0E-4, 50750, 6.8718257, 15.537892, 2.261101, 5084, 4918, 0.15657294, 1, 1064, 1064, 1064.0, 1064.0, 1133, 8870, 1, 8.827890556045896, 3, 1, 8870, 8870.0, 4, 4, 4.0, 4.0, 0.275, 0.365, 0.265, 0.17
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_11, 10002, 68259, 1, 3420, 6581, 83, 5, 1.0E-4, 50512, 6.824535, 15.441312, 2.2626173, 4962, 5040, 0.15598534, 1, 243, 243, 243.0, 243.0, 1090, 8913, 1, 9.176146788990826, 3, 1, 8913, 8913.0, 2147483637, 0, NaN, 0.0, 0.297, 0.375, 0.139, 0.087
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_12, 10002, 68268, 1, 3233, 6768, 83, 5, 1.0E-4, 50533, 6.8254347, 15.477204, 2.267578, 5052, 4950, 0.15738067, 2, 565, 3, 284.0, 284.0, 1118, 8885, 1, 8.946332737030412, 3, 1, 8885, 8885.0, 3, 3, 3.0, 3.0, 0.272, 0.325, 0.14, 0.086
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_13, 10002, 68537, 1, 3351, 6650, 80, 5, 1.0E-4, 50559, 6.8523297, 15.495901, 2.2614062, 5018, 4984, 0.15778437, 1, 555, 555, 555.0, 555.0, 1063, 8940, 1, 9.409219190968956, 3, 1, 8940, 8940.0, 4, 4, 4.0, 4.0, 0.264, 0.306, 0.287, 0.14
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_14, 10002, 68415, 1, 3330, 6671, 82, 5, 1.0E-4, 50620, 6.8401318, 15.488302, 2.264328, 4984, 5018, 0.1572679, 2, 519, 4, 261.5, 261.5, 1098, 8905, 1, 9.109289617486338, 3, 1, 8905, 8905.0, 4, 4, 4.0, 4.0, 0.235, 0.299, 0.129, 0.047
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_15, 10002, 68478, 1, 3384, 6617, 95, 5, 1.0E-4, 50550, 6.846431, 15.4996, 2.263895, 5064, 4938, 0.1554568, 3, 785, 1, 263.0, 3.0, 1100, 8903, 1, 9.092727272727272, 3, 1, 8903, 8903.0, 2147483637, 0, NaN, 0.0, 0.246, 0.317, 0.147, 0.105
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_16, 10002, 68570, 1, 3354, 6647, 80, 5, 1.0E-4, 50611, 6.855629, 15.492102, 2.2597637, 4980, 5022, 0.15575145, 2, 297, 2, 149.5, 149.5, 1078, 8925, 1, 9.278293135435993, 3, 1, 8925, 8925.0, 2147483637, 0, NaN, 0.0, 0.222, 0.277, 0.117, 0.047
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_17, 10002, 68580, 1, 3408, 6593, 78, 5, 1.0E-4, 50658, 6.856629, 15.519096, 2.2633712, 4945, 5057, 0.15701382, 2, 139, 1, 70.0, 70.0, 1087, 8916, 1, 9.201471941122355, 3, 1, 8916, 8916.0, 4, 4, 4.0, 4.0, 0.231, 0.299, 0.139, 0.07
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_18, 10002, 68482, 1, 3409, 6592, 90, 5, 1.0E-4, 50690, 6.846831, 15.484503, 2.2615578, 4929, 5073, 0.15683514, 1, 431, 431, 431.0, 431.0, 1078, 8925, 1, 9.278293135435993, 3, 1, 8925, 8925.0, 4, 4, 4.0, 4.0, 0.385, 0.597, 0.194, 0.21
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_19, 10002, 68224, 1, 3417, 6584, 85, 5, 1.0E-4, 50542, 6.821036, 15.44791, 2.2647455, 4953, 5049, 0.1555757, 1, 706, 706, 706.0, 706.0, 1109, 8894, 1, 9.018935978358883, 3, 1, 8894, 8894.0, 2147483637, 0, NaN, 0.0, 0.322, 0.317, 0.116, 0.058
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_2, 10002, 68498, 1, 3342, 6659, 93, 5, 1.0E-4, 50680, 6.84843, 15.516097, 2.265643, 4998, 5004, 0.1565158, 1, 521, 521, 521.0, 521.0, 1121, 8882, 1, 8.922390722569135, 3, 1, 8882, 8882.0, 3, 3, 3.0, 3.0, 0.256, 0.351, 0.135, 0.07
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_20, 10002, 68520, 1, 3516, 6485, 80, 5, 1.0E-4, 50693, 6.85063, 15.495001, 2.261836, 5011, 4991, 0.15592879, 4, 55, 1, 15.75, 3.5, 1120, 8883, 1, 8.930357142857142, 3, 1, 8883, 8883.0, 2147483637, 0, NaN, 0.0, 0.201, 0.257, 0.102, 0.067
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_21, 10002, 68452, 1, 3214, 6787, 82, 5, 1.0E-4, 50606, 6.843831, 15.463207, 2.2594373, 5095, 4907, 0.1557386, 1, 974, 974, 974.0, 974.0, 1094, 8909, 1, 9.142595978062158, 3, 1, 8909, 8909.0, 4, 4, 4.0, 4.0, 0.282, 0.353, 0.129, 0.071
