Model,#States,BVI
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_1,10002,111.078
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_10,10002,0.853
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_100,10002,46.397
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_11,10002,0.748
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_12,10002,
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_13,10002,16.256
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_14,10002,37.714
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_15,10002,0.836
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_16,10002,0.75
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_17,10002,44.556
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_18,10002,137.324
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_19,10002,0.776
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_2,10002,103.135
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_20,10002,0.662
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_21,10002,327.605
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_22,10002,0.889
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_23,10002,0.848
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_24,10002,0.823
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_25,10002,0.728
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_26,10002,0.804
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_27,10002,60.576
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_28,10002,89.663
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_29,10002,0.889
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_3,10002,
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_30,10002,0.712
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_31,10002,12.609
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_32,10002,0.795
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_33,10002,0.755
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_34,10002,155.79
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_35,10002,54.176
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_36,10002,4.804
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_37,10002,40.418
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_38,10002,0.848
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_39,10002,25.818
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_4,10002,52.86
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_40,10002,165.855
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_41,10002,0.783
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_42,10002,
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_43,10002,163.129
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_44,10002,5.764
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_45,10002,161.686
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_46,10002,0.642
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_47,10002,0.963
