Model,#States,BVI
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_1,10002,0.6705109978957146
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_10,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_100,10002,0.7778151500014504
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_11,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_12,10002,
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_13,10002,0.9000000000000001
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_14,10002,0.8163126805974803
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_15,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_16,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_17,10002,0.6919884850942031
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_18,10002,0.8635273139893018
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_19,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_2,10002,0.3338300603648289
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_20,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_21,10002,0.8804234643819581
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_22,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_23,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_24,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_25,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_26,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_27,10002,0.9
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_28,10002,0.8799849833399545
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_29,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_3,10002,
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_30,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_31,10002,0.787977719822509
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_32,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_33,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_34,10002,0.6996285981624566
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_35,10002,0.7448700342784506
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_36,10002,0.9
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_37,10002,0.8308099991886672
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_38,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_39,10002,0.6654706941014514
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_4,10002,0.7915654664614744
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_40,10002,0.6996583487411562
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_41,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_42,10002,
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_43,10002,0.8992832850611777
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_44,10002,0.9
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_45,10002,0.886524213560461
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_46,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_47,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_48,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_49,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_5,10002,0.796819262577046
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_50,10002,0.8476894768395973
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_51,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_52,10002,0.6695036596938638
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_53,10002,
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_54,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_55,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_56,10002,0.9000000000000002
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_57,10002,0.8683310818866798
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_58,10002,
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_59,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_6,10002,0.7634699245410622
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_60,10002,0.6642056632377922
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_61,10002,
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_62,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_63,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_64,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_65,10002,0.7637570156075757
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_66,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_67,10002,
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_68,10002,0.3662582971822793
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_69,10002,0.87913437001585
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_7,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_70,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_71,10002,0.7717404934286314
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_72,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_73,10002,0.0
