Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_101, 10000, 20041, 1, 3920, 6079, 25, 5, 0.001, 13238, 2.0041, 4.252, 2.1216507, 4920, 5080, 0.2723424, 0, , , , , 2782, 7218, 1, 3.5945363048166787, 3, 2, 2, 3610.0, 2147483637, 0, NaN, 0.0, 0.219, 0.235, 0.054, 0.09
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_102, 10000, 19993, 1, 3916, 6083, 20, 5, 0.001, 13129, 1.9993, 4.2498, 2.125644, 4944, 5056, 0.27476588, 0, , , , , 2786, 7215, 1, 3.589375448671931, 3, 1, 7215, 7215.0, 2147483637, 0, NaN, 0.0, 0.213, 0.223, 0.034, 0.064
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_103, 10000, 19978, 1, 3635, 6364, 22, 5, 0.001, 13196, 1.9978, 4.2404, 2.1225348, 5063, 4937, 0.27643618, 1, 1, 1, 1.0, 1.0, 2718, 7283, 1, 3.679175864606328, 3, 1, 7283, 7283.0, 4, 4, 4.0, 4.0, 0.307, 0.776, 0.045, 0.027
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_104, 10000, 19963, 1, 3601, 6398, 19, 5, 0.001, 13236, 1.9963, 4.2521, 2.1299906, 5085, 4915, 0.27558148, 0, , , , , 2669, 7332, 1, 3.7467216185837393, 3, 1, 7332, 7332.0, 4, 4, 4.0, 4.0, 0.235, 0.544, 0.043, 0.075
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_105, 10000, 19885, 1, 3846, 6153, 21, 5, 0.001, 13102, 1.9885, 4.2143, 2.1193361, 4907, 5093, 0.27216858, 0, , , , , 2785, 7216, 1, 3.5906642728904847, 3, 1, 7216, 7216.0, 5, 5, 5.0, 5.0, 0.189, 0.243, 0.061, 0.041
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_106, 10000, 20031, 2, 3868, 6130, 20, 5, 0.001, 13263, 2.0031, 4.2561, 2.1247566, 5050, 4950, 0.27344283, 0, , , , , 2766, 7235, 1, 3.6153289949385394, 3, 1, 7235, 7235.0, 2147483637, 0, NaN, 0.0, 0.329, 0.314, 0.044, 0.064
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_107, 10000, 19972, 1, 3864, 6135, 22, 5, 0.001, 13185, 1.9972, 4.2458, 2.1258762, 4952, 5048, 0.27559, 0, , , , , 2799, 7202, 1, 3.5727045373347623, 3, 1, 7202, 7202.0, 2147483637, 0, NaN, 0.0, 0.185, 0.25, 0.052, 0.037
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_108, 10000, 20064, 1, 9998, 1, 23, 5, 0.001, 13124, 2.0064, 4.2499, 2.118172, 4977, 5023, 0.2741947, 0, , , , , 2824, 7177, 1, 3.5410764872521248, 4, 1, 7177, 7177.0, 2147483637, 0, NaN, 0.0, 0.035, 0.045, 0.017, 0.067
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_109, 10000, 19924, 1, 3786, 6213, 24, 5, 0.001, 13023, 1.9924, 4.2204, 2.1182494, 5032, 4968, 0.27151453, 1, 1, 1, 1.0, 1.0, 2769, 7232, 1, 3.6114120621162873, 3, 1, 7232, 7232.0, 18, 18, 18.0, 18.0, 0.206, 0.492, 0.057, 0.029
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_110, 10000, 19982, 1, 3680, 6319, 19, 5, 0.001, 13167, 1.9982, 4.2336, 2.118707, 5034, 4966, 0.27338436, 1, 1, 1, 1.0, 1.0, 2785, 7216, 1, 3.5906642728904847, 3, 1, 7216, 7216.0, 2147483637, 0, NaN, 0.0, 0.267, 0.494, 0.061, 0.029
