Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,VI,WP_P3
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_101,10000,1,1,1,140,,245,,,170,173,220,,213,,79,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_102,10000,1,1,1,150,,403,,,240,182,297,,210,,84,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_103,10000,82,82,49,198,,724,,,245,193,245,,254,,121,65
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_104,10000,104,104,61,207,,511,,,217,177,217,,230,,110,81
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_105,10000,97,97,59,182,,454,,,165,179,225,,211,,97,69
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_106,10000,1,1,1,144,,400,,,246,,246,,222,,85,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_107,10000,1,1,1,143,,242,,,166,142,166,,182,,77,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_108,10000,1,1,1,3,,3,,,1,1,1,,1,,2,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_109,10000,78,78,48,149,,292,,,228,156,228,,201,,88,40
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_110,10000,1,1,1,145,,274,,,191,159,191,,201,,85,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_111,10000,93,93,55,153,,839,,,406,280,406,,367,,200,50
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_112,10000,117,117,67,154,,254,,,251,168,251,,211,,80,56
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_113,10000,79,79,50,145,,250,,,214,167,214,,209,,80,45
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_114,10000,1,1,1,2,,2,,,0,0,0,,0,,1,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_115,10000,1,1,1,2,,2,,,0,0,0,,0,,1,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_116,10000,298,298,217,188,,467,,,401,155,401,,213,,96,72
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_117,10000,1,1,1,139,,237,,,187,163,187,,197,,76,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_118,10000,62,62,37,133,,235,,,203,182,203,,222,,77,50
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_119,10000,1,1,1,155,,431,,,241,194,241,,244,,93,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_120,10000,1,1,1,191,,309,,,692,179,692,,214,,96,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_121,10000,92,92,60,159,,414,,,237,186,237,,220,,90,60
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_122,10000,388,388,115,152,,265,,,523,163,523,,199,,83,49
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_123,10000,60,60,38,133,,235,,,175,147,175,,183,,77,42
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_124,10000,61,61,39,130,,252,,,210,174,210,,215,,82,39
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_125,10000,1,1,1,134,,249,,,213,,213,,209,,78,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_126,10000,137,137,75,127,,220,,,272,157,272,,197,,75,45
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_127,10000,1,1,1,2,,2,,,0,0,0,,0,,1,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_128,10000,80,80,48,166,,303,,,197,167,197,,203,,96,63
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_129,10000,97,97,60,320,,517,,,250,185,250,,238,,106,67
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_130,10000,1,1,1,161,,444,,,231,195,231,,244,,91,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_131,10000,1,1,1,2,,2,,,0,0,0,,0,,1,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_132,10000,84,84,55,171,,403,,,207,161,207,,210,,90,50
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_133,10000,86,86,60,205,,456,,,195,170,195,,220,,94,70
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_134,10000,1,1,1,139,,902,,,409,240,409,,303,,161,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_135,10000,94,94,60,185,,347,,,266,203,266,,252,,116,60
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_136,10000,63,63,40,153,,261,,,178,150,178,,193,,84,45
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_137,10000,256,256,129,161,,563,,,488,,488,,231,,99,55
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_138,10000,1,1,1,416,,637,,,344,256,344,,,,172,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_139,10000,83,83,48,155,,408,,,195,160,195,,193,,90,60
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_140,10000,1,1,1,214,,507,,,282,204,282,,240,,111,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_141,10000,1,1,1,137,,238,,,219,164,219,,202,,76,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_142,10000,91,91,51,148,,274,,,150,158,210,,195,,84,55
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_143,10000,82,82,53,161,,415,,,156,175,209,,215,,92,60
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_144,10000,1,1,1,3,,3,,,1,1,1,,1,,2,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_145,10000,1,1,1,2,,2,,,0,0,0,,0,,1,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_146,10000,120,120,45,129,,231,,,252,185,271,,223,,75,47
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_147,10000,79,79,48,146,,262,,,,,193,,196,,81,55
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_148,10000,72,72,47,146,,375,,,229,186,229,,221,,79,48
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_149,10000,69,69,43,159,,274,,,182,160,182,,204,,88,56
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_150,10000,86,86,57,140,,244,,,223,167,223,,212,,80,48
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_151,10000,90,90,63,255,,613,,,229,167,229,,211,,105,51
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_152,10000,111,111,71,147,,388,,,254,,254,,226,,81,50
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_153,10000,165,165,86,530,,963,,,683,401,683,,540,,303,54
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_154,10000,1,1,1,174,,293,,,224,188,224,,231,,102,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_155,10000,99,99,57,159,,578,,,285,,285,,225,,104,56
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_156,10000,1,1,1,141,,379,,,185,150,185,,185,,80,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_157,10000,1,1,1,75,,382,,,192,158,192,,202,,78,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_158,10000,1,1,1,2,,2,,,0,0,0,,0,,1,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_159,10000,92,92,61,148,,283,,,239,190,239,,239,,88,53
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_160,10000,379,379,281,130,,255,,,518,172,518,,213,,82,54
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_161,10000,1,1,1,328,,516,,,238,196,238,,239,,121,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_162,10000,88,88,53,164,,449,,,219,177,219,,228,,92,63
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_163,10000,73,73,44,141,,369,,,239,179,210,,222,,83,50
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_164,10000,1,1,1,2,,2,,,0,0,0,,0,,1,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_165,10000,398,398,202,173,,479,,,672,192,672,,227,,99,63
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_166,10000,1,1,1,2,,2,,,0,0,0,,0,,1,1
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_167,10000,71,71,45,143,,260,,,202,166,202,,205,,84,50
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_168,10000,1,1,1,2,,2,,,0,0,0,,0,,1,1
