Conf,Model,Verification Time,Number Of Verif. Phases,Iterations in Verif Phase,NumAborted,NumInduceLowerBound,NumFailedVerif
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_101,1,2,11,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_102,1,2,11,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_103,1,2,22,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_104,2,2,22,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_105,1,2,17,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_106,1,2,14,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_107,1,2,12,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_108,0,1,1,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_109,1,2,9,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_110,1,2,10,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_111,1,2,11,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_112,1,2,23,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_113,1,2,11,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_114,0,1,1,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_115,0,1,1,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_116,1,2,20,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_117,1,2,16,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_118,1,2,10,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_119,1,2,13,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_120,1,2,19,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_121,1,2,16,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_122,1,2,12,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_123,1,2,11,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_124,1,2,10,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_125,1,2,11,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_126,1,2,10,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_127,0,1,1,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_128,1,2,15,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_129,2,3,10,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_130,1,2,13,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_131,0,1,1,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_132,1,2,25,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_133,2,2,20,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_134,1,2,13,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_135,1,2,24,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_136,1,2,11,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_137,1,2,12,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_138,2,4,12,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_139,1,2,16,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_140,1,2,27,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_141,1,2,11,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_142,1,2,11,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_143,1,2,16,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_144,0,1,1,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_145,0,1,1,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_146,1,2,11,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_147,1,2,9,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_148,1,2,10,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_149,1,2,13,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_150,1,2,13,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_151,2,3,10,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_152,1,2,14,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_153,2,5,11,4,4,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_154,1,2,16,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_155,1,2,14,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_156,1,2,13,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_157,1,1,24,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_158,0,1,1,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_159,1,2,12,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_160,1,2,11,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_161,2,3,13,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_162,1,2,13,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_163,1,2,10,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_164,0,1,1,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_165,1,2,13,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_166,0,1,1,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_167,1,2,10,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_168,0,1,1,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_169,1,2,13,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_170,5,6,10,5,5,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_171,0,1,1,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_172,2,4,12,3,3,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_173,1,2,14,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_174,0,1,1,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_175,1,2,10,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_176,1,2,11,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_177,0,1,1,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_178,2,2,32,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_179,2,3,22,2,2,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_180,1,2,17,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_181,1,2,12,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_182,2,2,15,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_183,1,2,12,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_184,1,2,9,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_185,2,2,13,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_186,1,2,9,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_187,1,2,18,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_188,0,1,2,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_189,0,1,24,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_190,0,1,1,0,0,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_191,1,2,14,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_192,1,2,27,1,1,0
G_OVI,RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_193,1,2,16,1,1,0
