Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,VI,WP_P3
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_101,10000,0.443,0.586,0.512,1.377,7.19,1.787,4.964,,1.631,555.12,2.224,10.036,1.673,,0.906,0.57
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_102,10000,0.494,0.54,0.485,1.408,8.259,2.683,5.576,,2.007,515.769,2.681,9.844,1.312,,1.215,0.63
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_103,10000,1.84,1.876,1.432,1.846,11.507,5.279,12.171,,3.449,633.303,2.729,14.74,2.889,,1.401,3.291
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_104,10000,1.983,2.135,1.537,2.095,10.089,3.809,7.183,,3.152,564.404,4.561,10.839,2.304,,1.256,3.146
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_105,10000,1.834,1.771,1.204,1.747,7.179,2.625,6.902,,1.684,519.153,5.065,8.648,1.404,,1.087,2.598
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_106,10000,0.584,0.602,0.611,1.369,7.156,2.151,11.308,,2.444,,5.934,9.293,2.614,,1.011,0.883
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_107,10000,0.396,0.524,0.403,1.163,7.307,1.532,5.665,,2.07,537.85,3.12,7.893,2.162,,0.987,0.733
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_108,10000,0.075,0.077,0.07,0.07,0.13,0.08,0.183,0.116,0.161,0.323,0.096,0.098,0.114,0.188,0.129,0.121
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_109,10000,1.977,1.846,1.372,1.844,10.117,2.076,9.393,,3.014,567.23,3.879,13.257,2.449,,1.019,2.604
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_110,10000,0.623,0.842,0.721,1.907,9.231,2.823,11.442,,1.995,579.949,3.285,9.682,1.866,,1.335,1.416
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_111,10000,1.907,1.66,1.229,1.189,8.163,5.928,5.715,,4.397,630.086,7.646,8.404,2.662,,1.744,2.317
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_112,10000,2.16,2.196,1.604,1.524,10.206,2.541,6.206,,3.538,630.516,4.53,12.824,1.793,,1.41,2.347
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_113,10000,1.721,1.439,1.059,1.196,8.002,2.083,8.558,,2.823,475.956,2.393,9.481,2.053,,0.893,1.835
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_114,10000,0.055,0.047,0.045,0.04,0.088,0.058,0.111,0.091,0.068,0.252,0.076,0.056,0.06,0.047,0.086,0.073
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_115,10000,0.046,0.046,0.044,0.047,0.099,0.067,0.058,0.071,0.051,0.193,0.066,0.053,0.081,0.047,0.102,0.061
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_116,10000,4.32,4.192,2.386,1.561,10.84,3.389,8.198,,5.392,752.544,5.737,10.369,2.382,,0.976,2.281
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_117,10000,0.604,0.557,0.492,1.456,7.869,2.054,5.739,,3.744,593.965,2.641,8.405,1.404,,0.938,0.711
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_118,10000,1.375,1.176,0.923,1.375,8.072,1.812,4.033,,2.162,623.508,3.24,9.283,1.68,,0.915,2.07
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_119,10000,0.536,0.637,0.496,1.85,6.888,3.326,4.981,,2.508,595.985,3.293,8.971,1.929,,0.927,0.651
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_120,10000,0.547,0.538,0.607,1.666,9.386,2.56,3.709,,8.717,609.059,10.254,9.833,1.244,,0.877,0.704
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_121,10000,1.719,1.902,1.373,1.319,9.906,3.594,5.555,,2.93,563.601,2.859,10.846,2.023,,1.016,1.807
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_122,10000,4.934,5.931,1.809,1.355,13.0,2.281,5.971,,6.6,547.339,6.276,15.92,1.634,,0.998,2.491
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_123,10000,1.501,1.689,1.026,1.639,8.416,2.556,4.449,,2.156,628.22,3.495,9.777,1.742,,1.023,1.948
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_124,10000,1.413,1.521,0.887,1.474,8.887,2.365,4.906,,2.478,572.513,3.392,8.847,1.561,,0.968,1.837
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_125,10000,0.767,0.694,0.761,1.578,9.356,2.131,6.315,,2.769,,4.021,10.057,1.738,,1.046,1.091
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_126,10000,2.472,2.985,1.504,1.566,8.419,2.095,6.764,,5.391,546.277,5.908,9.366,2.103,,1.085,2.378
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_127,10000,0.047,0.047,0.042,0.046,0.09,0.051,0.096,0.083,0.047,0.275,0.076,0.063,0.071,0.086,0.093,0.108
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_128,10000,1.558,1.888,0.889,1.707,8.434,2.596,7.839,,2.62,626.068,2.699,10.629,1.845,,0.977,3.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_129,10000,1.546,1.968,1.546,2.959,7.539,4.121,5.971,,3.052,570.595,2.72,7.284,2.937,,1.131,1.817
