Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,VI,WP_P3
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_101,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_102,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_103,10000,0.05133352021815419,0.05133352021815419,0.051333514128691124,0.051333524002033726,0.051333524002035995,0.05133352400203509,0.051333524048398305,,0.05133352398770896,0.051333518005447665,0.051333524002034316,0.051333524002035974,0.05133352400203487,,0.051333524000347325,0.05133339258335948
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_104,10000,0.13960405426999573,0.13960405426999573,0.13960406056512265,0.1396040691244922,0.13960406912448337,0.13960406912449372,0.13960407052254398,,0.13960406910599443,0.13960406830156766,0.13960406910964596,0.1396040691244952,0.13960406912238735,,0.1396040630843765,0.13960359798885888
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_105,10000,0.07606185679627209,0.07606185679627209,0.0760618573650071,0.07606185906681921,0.07606185906681878,0.07606185906682006,0.07606185907751466,,0.07606185906676961,0.0760618570055045,0.07606185906584556,0.07606185906681878,0.07606185927902352,,0.07606185679627209,0.07606161201241571
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_106,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_107,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_108,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_109,10000,4.078561457741593E-6,4.078561457741593E-6,4.07856650311056E-6,4.0785721940367095E-6,4.078572194028202E-6,4.078572194036709E-6,4.0785722578937975E-6,,4.078572091723705E-6,4.078571895360617E-6,4.0785721940365045E-6,4.078572194028201E-6,4.078572193965268E-6,,4.078570966292298E-6,4.041548351373443E-6
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_110,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_111,10000,0.05737132862079413,0.05737132862079413,0.057371336487649784,0.05737133653979298,0.05737133653979217,0.05737133653957434,0.05737133654557226,,0.05737133650530351,0.05737133640684424,0.057371336539788265,0.05737133653979217,0.05737133653974096,,0.057371336528837476,0.057370840580691855
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_112,10000,0.015744771349972434,0.015744771349972434,0.01574477134983716,0.01574477135000881,0.015744771350008815,0.01574477134980751,0.015744771368844914,,0.015744771298607414,0.015744770696397563,0.015744771350008832,0.01574477135000845,0.015744771349999232,,0.015744771214130506,0.015744742622823306
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_113,10000,0.0969348456462959,0.0969348456462959,0.09693484566917639,0.09693484570512323,0.09693484570512316,0.09693484570511497,0.09693484570986138,,0.09693484569892626,0.09693484538747742,0.09693484570512233,0.09693484570512302,0.09693484570512038,,0.09693484565851429,0.09693469502151268
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_114,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_115,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_116,10000,0.12326810580843317,0.12326810580843317,0.12326810580843317,0.12326810580428134,0.12326810580843266,0.12326810580843262,0.12326810626495642,,0.12326810578272852,0.12326810565514408,0.12326810580843317,0.12326810580843266,0.12326810580799656,,0.12326810034142915,0.123267845145197
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_117,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_118,10000,0.04584163552360068,0.04584163552360068,0.0458416380090096,0.04584165165508146,0.0458416516550812,0.04584165165507117,0.045841651668439905,,0.04584165162274296,0.045841648779311295,0.04584165165321186,0.04584165165508112,0.04584165165506551,,0.04584165129156947,0.04584131792024112
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_119,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_120,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_121,10000,0.01595939599700513,0.01595939599700513,0.01595939607015254,0.015959396090159277,0.015959396090158867,0.015959396090159308,0.01595939609393488,,0.015959396069729733,0.015959393756849422,0.01595939609015616,0.015959396090157146,0.015959396126356797,,0.015959395947824955,0.015959316125078796
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_122,10000,0.03330366325362953,0.03330366325362953,0.03330366325362953,0.033303663253629504,0.03330366325362943,0.033303663253595794,0.033303663259957025,,0.03330366301203864,0.033303659195854186,0.03330366325362953,0.03330366325362947,0.03330366325752141,,0.03330366318601679,0.03330352283546094
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_123,10000,0.17507403962887336,0.17507403962887336,0.1750740407892111,0.17507404214676173,0.17507404214676178,0.17507404214676148,0.17507404214862732,,0.1750740421467616,0.17507404210062089,0.1750740421467314,0.17507404214676164,0.17507404214675765,,0.17507404211229446,0.17507381725995855
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_124,10000,3.0411943469936387E-5,3.0411943469936387E-5,3.041213965419207E-5,3.0412193248735397E-5,3.041219324872878E-5,3.0412193248735227E-5,3.0412193413322294E-5,,3.0412192790877022E-5,3.039796367211602E-5,3.0412193248588328E-5,3.041219324872883E-5,3.041219324869365E-5,,3.0412191953257247E-5,3.0360414036826146E-5
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_125,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_126,10000,0.0061887226474133155,0.0061887226474133155,0.006188722647413311,0.0061887226474133155,0.006188722647413237,0.0061887226474133155,0.006188722648557353,,0.006188722601851412,0.006188720751385135,0.0061887226474133155,0.00618872264741324,0.006188722647413176,,0.006188722638015359,0.006188678296956524
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_127,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_128,10000,0.019108615900898077,0.019108615900898077,0.01910862677983555,0.019108636383395435,0.019108636383400397,0.01910863638329555,0.019108636390192023,,0.019108636383332697,0.019108636122697285,0.01910863637929462,0.019108636383400397,0.01910863643125979,,0.019108635414360316,0.019108316966352467
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_129,10000,0.15521165952385113,0.15521165952385113,0.15521166116857166,0.15521166181270132,0.1552116618127003,0.15521166181268295,0.1552116618386764,,0.15521166181264642,0.15521166178998203,0.15521166181261695,0.15521166181270152,0.15521166181226115,,0.15521166115726626,0.15521150164439373
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_130,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_131,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_132,10000,0.028173008854267947,0.028173008854267947,0.02817300894324037,0.028173009157145785,0.028173009157294274,0.028173009157294537,0.028173009161169195,,0.02817300914137829,0.028173009065841435,0.028173009157287945,0.028173009157294274,0.02817300915729099,,0.028173009056003076,0.028172713096640066
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_133,10000,0.25977561080264816,0.25977561080264816,0.2597756069138911,0.2597756609758921,0.2597756609759069,0.25977566097590915,0.25977566366334853,,0.2597756609730736,0.25977566093397614,0.2597756608427959,0.2597756609759069,0.2597756609744316,,0.25977564894071836,0.25977477403829197
