Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_1, 10002, 19866, 1, 3800, 6201, 20, 5, 1.0E-4, 13083, 1.9862027, 4.2315536, 2.130474, 4947, 5055, 0.27672243, 1, 1, 1, 1.0, 1.0, 2731, 7272, 1, 3.6623947272061517, 3, 1, 7272, 7272.0, 2147483637, 0, NaN, 0.0, 0.209, 0.276, 0.051, 0.03
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_10, 10002, 19898, 1, 3981, 6020, 20, 5, 1.0E-4, 13064, 1.9894022, 4.2159567, 2.1192079, 4938, 5064, 0.27098748, 2, 1, 1, 1.0, 1.0, 2825, 7178, 1, 3.5405309734513275, 3, 1, 7178, 7178.0, 7, 7, 7.0, 7.0, 0.317, 0.351, 0.074, 0.067
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_100, 10002, 20050, 1, 3844, 6157, 29, 5, 1.0E-4, 13224, 2.004599, 4.259648, 2.1249378, 4946, 5056, 0.2732778, 0, , , , , 2777, 7226, 1, 3.601728483975513, 3, 1, 7226, 7226.0, 6, 6, 6.0, 6.0, 0.274, 0.28, 0.06, 0.081
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_11, 10002, 20019, 1, 3832, 6169, 23, 5, 1.0E-4, 13145, 2.0014997, 4.261048, 2.1289275, 5004, 4998, 0.2757221, 0, , , , , 2826, 7177, 1, 3.5392781316348194, 3, 1, 7177, 7177.0, 4, 4, 4.0, 4.0, 0.212, 0.257, 0.036, 0.04
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_12, 10002, 19942, 1, 3962, 6039, 22, 5, 1.0E-4, 13108, 1.9938012, 4.2292542, 2.1212015, 4991, 5011, 0.27498168, 0, , , , , 2849, 7154, 1, 3.5107055107055105, 3, 1, 7154, 7154.0, 2147483637, 0, NaN, 0.0, 0.191, 0.217, 0.059, 0.035
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_13, 10002, 20008, 1, 3845, 6156, 19, 5, 1.0E-4, 13138, 2.0003998, 4.2592483, 2.1291983, 5012, 4990, 0.27461797, 1, 2, 2, 2.0, 2.0, 2779, 7224, 1, 3.599136379992803, 3, 1, 7224, 7224.0, 7, 7, 7.0, 7.0, 0.167, 0.222, 0.044, 0.041
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_14, 10002, 20013, 1, 3968, 6033, 24, 5, 1.0E-4, 13171, 2.0008998, 4.2427516, 2.1204216, 5024, 4978, 0.2720096, 0, , , , , 2807, 7196, 1, 3.563234770217314, 3, 1, 7196, 7196.0, 5, 5, 5.0, 5.0, 0.242, 0.284, 0.048, 0.037
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_15, 10002, 19835, 1, 3998, 6003, 22, 5, 1.0E-4, 12937, 1.9831034, 4.20046, 2.1181245, 5074, 4928, 0.27179682, 0, , , , , 2885, 7118, 1, 3.466897746967071, 3, 1, 7118, 7118.0, 7, 7, 7.0, 7.0, 0.265, 0.212, 0.039, 0.028
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_16, 10002, 19882, 1, 3775, 6226, 21, 5, 1.0E-4, 13026, 1.9878024, 4.210258, 2.1180465, 4986, 5016, 0.27092683, 0, , , , , 2849, 7154, 1, 3.5107055107055105, 3, 1, 7154, 7154.0, 8, 8, 8.0, 8.0, 0.224, 0.308, 0.054, 0.049
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_17, 10002, 19877, 1, 3871, 6130, 23, 5, 1.0E-4, 13051, 1.9873025, 4.220956, 2.1239624, 4935, 5067, 0.27291676, 0, , , , , 2807, 7196, 1, 3.563234770217314, 3, 1, 7196, 7196.0, 4, 4, 4.0, 4.0, 0.151, 0.223, 0.042, 0.061
