Model,#States,BVI
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_1,10002,1
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_10,10002,89
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_100,10002,64
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_11,10002,147
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_12,10002,1
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_13,10002,104
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_14,10002,101
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_15,10002,577
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_16,10002,90
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_17,10002,70
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_18,10002,86
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_19,10002,70
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_2,10002,96
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_20,10002,604
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_21,10002,84
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_22,10002,91
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_23,10002,73
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_24,10002,1
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_25,10002,401
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_26,10002,65
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_27,10002,1
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_28,10002,84
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_29,10002,1
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_3,10002,1
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_30,10002,68
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_31,10002,97
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_32,10002,1
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_33,10002,1
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_34,10002,495
