Model,#States,BVI
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_1,10002,0.78
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_10,10002,1.53
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_100,10002,1.305
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_11,10002,2.233
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_12,10002,0.501
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_13,10002,2.124
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_14,10002,1.671
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_15,10002,7.127
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_16,10002,1.681
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_17,10002,1.561
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_18,10002,1.523
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_19,10002,1.405
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_2,10002,1.772
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_20,10002,7.789
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_21,10002,1.668
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_22,10002,1.743
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_23,10002,1.795
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_24,10002,0.632
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_25,10002,6.604
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_26,10002,1.504
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_27,10002,0.643
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_28,10002,1.163
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_29,10002,0.079
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_3,10002,0.505
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_30,10002,1.305
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_31,10002,1.706
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_32,10002,0.515
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_33,10002,0.079
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_34,10002,5.719
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_35,10002,0.492
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_36,10002,0.109
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_37,10002,1.35
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_38,10002,0.129
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_39,10002,1.447
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_4,10002,4.047
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_40,10002,0.07
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_41,10002,0.099
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_42,10002,0.434
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_43,10002,1.348
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_44,10002,0.423
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_45,10002,0.679
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_46,10002,0.534
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_47,10002,1.506
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_48,10002,0.108
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_49,10002,0.479
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_5,10002,0.557
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_50,10002,0.587
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_51,10002,1.498
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_52,10002,2.547
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_53,10002,0.429
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_54,10002,2.318
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_55,10002,1.878
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_56,10002,1.693
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_57,10002,1.161
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_58,10002,0.475
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_59,10002,0.622
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_6,10002,0.664
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_60,10002,0.56
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_61,10002,0.085
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_62,10002,0.103
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_63,10002,0.455
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_64,10002,3.182
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_65,10002,1.307
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_66,10002,0.456
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_67,10002,2.035
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_68,10002,0.506
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_69,10002,0.439
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_7,10002,15.986
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_70,10002,1.469
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_71,10002,0.547
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_72,10002,0.531
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_73,10002,0.084
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_74,10002,0.747
