Model,#States,BVI
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_1,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_10,10002,0.0014319600495714653
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_100,10002,0.1042551992996234
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_11,10002,0.1721732127946946
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_12,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_13,10002,0.0019063918564604782
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_14,10002,0.08781316256244197
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_15,10002,0.00242617966037328
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_16,10002,0.016478288647235974
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_17,10002,0.19611036152202105
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_18,10002,1.3291440152717526E-4
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_19,10002,0.08661748396728927
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_2,10002,0.17586146253049983
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_20,10002,0.00637923924226455
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_21,10002,0.06215414725865121
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_22,10002,0.13019171223403855
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_23,10002,0.001652785989565274
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_24,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_25,10002,0.09761439323035696
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_26,10002,0.03069742456168854
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_27,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_28,10002,0.31031411981254486
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_29,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_3,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_30,10002,0.04846084950108773
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_31,10002,0.003284180796798949
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_32,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_33,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_34,10002,9.192468556244107E-7
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_35,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_36,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_37,10002,0.10194045490916176
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_38,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_39,10002,0.017064001923175757
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_4,10002,0.21900865810054493
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_40,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_41,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_42,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_43,10002,0.6401757445068433
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_44,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_45,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_46,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_47,10002,0.49420775727229915
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_48,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_49,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_5,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_50,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_51,10002,0.03805651332936859
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_52,10002,0.12274192460086175
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_53,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_54,10002,0.09110275128886597
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_55,10002,0.047409351141562805
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_56,10002,0.003431228234405704
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_57,10002,0.14452835505550857
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_58,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_59,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_6,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_60,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_61,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_62,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_63,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_64,10002,0.11225428999858926
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_65,10002,0.023395511683516782
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_66,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_67,10002,0.044316800799337454
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_68,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_69,10002,0.0
RANDOM_Size_10002_MinAct_1_MinTransProb_0.0001_Model_7,10002,6.674466524459211E-4
