Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_1, 10000, 59891, 108, 9888, 4, 18, 8, 0.01, 704, 5.9891, 6.0785, 1.0149271, 5049, 4951, 0.093098626, 1, 1, 1, 1.0, 1.0, 68, 3942, 1, 147.05882352941177, 3, 12, 250, 828.6666666666666, 2147483637, 0, NaN, 0.0, 0.112, 0.301, 0.018, 0.037
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_10, 10000, 59614, 195, 9797, 8, 16, 8, 0.01, 700, 5.9614, 6.0498, 1.0148287, 5029, 4971, 0.09277993, 3, 1, 1, 1.0, 1.0, 69, 4190, 1, 144.92753623188406, 3, 11, 364, 903.8181818181819, 2147483637, 0, NaN, 0.0, 0.133, 0.345, 0.015, 0.036
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_100, 10000, 60067, 162, 7658, 2180, 17, 8, 0.01, 693, 6.0067, 6.0927, 1.0143174, 5043, 4957, 0.08938566, 22, 352, 1, 88.9090909090909, 1.0, 76, 5989, 1, 131.57894736842104, 3, 9, 318, 1103.6666666666667, 2147483637, 0, NaN, 0.0, 0.335, 0.576, 0.072, 0.036
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_11, 10000, 60129, 298, 9694, 8, 18, 9, 0.01, 708, 6.0129, 6.0979, 1.0141363, 5048, 4952, 0.09275325, 0, , , , , 62, 4259, 1, 161.29032258064515, 3, 9, 371, 1105.2222222222222, 2147483637, 0, NaN, 0.0, 0.151, 0.407, 0.015, 0.028
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_12, 10000, 60114, 251, 9743, 6, 18, 10, 0.01, 700, 6.0114, 6.0995, 1.0146555, 5102, 4898, 0.093171574, 1, 1, 1, 1.0, 1.0, 44, 5002, 1, 227.27272727272728, 3, 9, 372, 1107.2222222222222, 2147483637, 0, NaN, 0.0, 0.146, 0.453, 0.016, 0.035
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_13, 10000, 60424, 272, 9380, 348, 16, 9, 0.01, 714, 6.0424, 6.135, 1.0153251, 5000, 5000, 0.09281173, 3, 315, 1, 105.66666666666667, 1.0, 62, 7875, 1, 161.29032258064515, 3, 6, 329, 1657.3333333333333, 2147483637, 0, NaN, 0.0, 0.213, 0.577, 0.028, 0.07
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_14, 10000, 59184, 149, 9851, 0, 16, 9, 0.01, 680, 5.9184, 6.0025, 1.0142099, 4983, 5017, 0.093027905, 0, , , , , 55, 6300, 1, 181.8181818181818, 3, 8, 276, 1244.125, 2147483637, 0, NaN, 0.0, 0.236, 0.308, 0.001, 0.058
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_15, 10000, 60496, 140, 9860, 0, 17, 8, 0.01, 722, 6.0496, 6.1383, 1.0146621, 5047, 4953, 0.09069286, 0, , , , , 58, 4702, 1, 172.41379310344828, 3, 10, 320, 995.2, 2147483637, 0, NaN, 0.0, 0.143, 0.267, 0.001, 0.041
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_16, 10000, 59958, 183, 9799, 18, 15, 8, 0.01, 724, 5.9958, 6.0862, 1.0150772, 5025, 4975, 0.09227432, 5, 1, 1, 1.0, 1.0, 66, 4673, 1, 151.5151515151515, 3, 10, 328, 994.4, 2147483637, 0, NaN, 0.0, 0.17, 0.504, 0.039, 0.042
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_17, 10000, 59661, 1, 9999, 0, 19, 10, 0.01, 723, 5.9661, 6.0541, 1.01475, 4973, 5027, 0.09243323, 0, , , , , 81, 7234, 1, 123.45679012345678, 3, 7, 57, 1418.0, 2147483637, 0, NaN, 0.0, 0.014, 0.022, 0.001, 0.036
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_18, 10000, 60286, 138, 9862, 0, 18, 9, 0.01, 697, 6.0286, 6.1206, 1.0152606, 4979, 5021, 0.09126556, 0, , , , , 75, 6360, 1, 133.33333333333334, 3, 7, 247, 1418.857142857143, 2147483637, 0, NaN, 0.0, 0.121, 0.237, 0.001, 0.031
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_19, 10000, 59648, 105, 9895, 0, 17, 10, 0.01, 735, 5.9648, 6.0583, 1.0156753, 4978, 5022, 0.09337603, 0, , , , , 97, 5414, 1, 103.09278350515464, 3, 9, 199, 1101.3333333333333, 2147483637, 0, NaN, 0.0, 0.138, 0.258, 0.001, 0.044
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_2, 10000, 60449, 40, 9431, 529, 17, 9, 0.01, 693, 6.0449, 6.1306, 1.0141772, 4973, 5027, 0.09163866, 4, 293, 1, 122.5, 98.0, 73, 5319, 1, 136.986301369863, 3, 10, 47, 993.7, 2147483637, 0, NaN, 0.0, 0.192, 0.462, 0.033, 0.039
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_20, 10000, 59627, 7, 9795, 198, 18, 9, 0.01, 670, 5.9627, 6.0468, 1.0141044, 5015, 4985, 0.09439704, 3, 177, 1, 59.666666666666664, 1.0, 67, 6435, 1, 149.2537313432836, 3, 7, 316, 1420.0, 2147483637, 0, NaN, 0.0, 0.167, 0.203, 0.037, 0.063
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_21, 10000, 60188, 72, 9927, 1, 18, 8, 0.01, 693, 6.0188, 6.1071, 1.0146707, 4939, 5061, 0.09315387, 0, , , , , 61, 5299, 1, 163.9344262295082, 3, 8, 116, 1243.375, 2147483637, 0, NaN, 0.0, 0.108, 0.276, 0.01, 0.029
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_22, 10000, 60086, 96, 9904, 0, 17, 10, 0.01, 687, 6.0086, 6.096, 1.0145458, 5022, 4978, 0.09196194, 0, , , , , 62, 4837, 1, 161.29032258064515, 3, 9, 194, 1105.2222222222222, 2147483637, 0, NaN, 0.0, 0.106, 0.181, 0.001, 0.043
