Model,#States,BVI
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_1,10000,0.424
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_10,10000,0.536
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_100,10000,1.499
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_11,10000,0.585
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_12,10000,0.567
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_13,10000,0.83
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_14,10000,0.658
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_15,10000,0.456
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_16,10000,0.695
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_17,10000,0.044
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_18,10000,0.544
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_19,10000,0.367
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_2,10000,0.901
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_20,10000,0.383
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_21,10000,0.389
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_22,10000,0.343
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_23,10000,0.732
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_24,10000,0.705
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_25,10000,0.373
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_26,10000,0.416
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_27,10000,0.982
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_28,10000,0.252
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_29,10000,0.385
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_3,10000,0.57
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_30,10000,0.613
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_31,10000,0.535
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_32,10000,0.053
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_33,10000,0.717
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_34,10000,0.684
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_35,10000,0.462
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_36,10000,0.632
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_37,10000,0.439
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_38,10000,0.909
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_39,10000,0.375
