Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_1, 10000, 56250, 1321, 8522, 157, 17, 5, 4.0E-4, 5626, 5.625, 6.1926, 1.1009066, 4968, 5032, 0.087959826, 4, 1, 1, 1.0, 1.0, 97, 1815, 1, 103.09278350515464, 5, 8, 386, 1238.875, 2147483637, 0, NaN, 0.0, 0.251, 0.916, 0.022, 0.039
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_10, 10000, 56139, 129, 9861, 10, 17, 5, 0.0017, 5645, 5.6139, 6.1839, 1.1015337, 4948, 5052, 0.086919256, 3, 1, 1, 1.0, 1.0, 116, 1956, 1, 86.20689655172414, 7, 11, 198, 899.5454545454545, 2147483637, 0, NaN, 0.0, 0.081, 0.261, 0.017, 0.037
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_100, 10000, 56144, 704, 9224, 72, 16, 5, 0.0082, 5545, 5.6144, 6.1743, 1.0997257, 5008, 4992, 0.08668189, 7, 7, 1, 1.8571428571428572, 1.0, 112, 1358, 1, 89.28571428571429, 5, 12, 324, 825.0, 2147483637, 0, NaN, 0.0, 0.181, 0.958, 0.019, 0.051
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_11, 8501, 47981, 17, 8469, 15, 19, 7, 0.0018, 4651, 5.6441593, 6.197153, 1.0979763, 4275, 4226, 0.08733533, 0, , , , , 73, 1976, 1, 116.45205479452055, 5, 7, 72, 1205.0, 2147483637, 0, NaN, 0.0, 0.074, 0.192, 0.022, 0.034
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_12, 10000, 56265, 1, 9875, 124, 16, 6, 8.0E-4, 5628, 5.6265, 6.1952, 1.1010753, 5057, 4943, 0.08687371, 1, 112, 112, 112.0, 112.0, 99, 1460, 1, 101.01010101010101, 7, 17, 121, 583.4117647058823, 2147483637, 0, NaN, 0.0, 0.081, 0.104, 0.019, 0.036
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_13, 9033, 50842, 1, 9032, 0, 16, 6, 0.0052, 5190, 5.6284733, 6.2064652, 1.1026907, 4463, 4570, 0.0872233, 0, , , , , 114, 1812, 1, 79.23684210526316, 8, 11, 121, 811.8181818181819, 2147483637, 0, NaN, 0.0, 0.013, 0.02, 0.001, 0.042
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_14, 10000, 56273, 604, 9326, 70, 18, 5, 7.0E-4, 5584, 5.6273, 6.1894, 1.0998881, 4973, 5027, 0.08743982, 2, 10, 1, 5.5, 5.5, 78, 1606, 1, 128.2051282051282, 6, 10, 245, 993.2, 2147483637, 0, NaN, 0.0, 0.143, 0.563, 0.024, 0.036
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_15, 10000, 56217, 1, 9428, 571, 20, 5, 0.0017, 5647, 5.6217, 6.1894, 1.1009837, 4941, 5059, 0.08756907, 6, 458, 1, 80.16666666666667, 5.0, 112, 1760, 1, 89.28571428571429, 5, 11, 33, 899.9090909090909, 2147483637, 0, NaN, 0.0, 0.154, 0.184, 0.041, 0.04
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_16, 10000, 56287, 625, 9336, 39, 17, 5, 0.0107, 5571, 5.6287, 6.19, 1.0997211, 4977, 5023, 0.08751211, 3, 1, 1, 1.0, 1.0, 103, 1946, 1, 97.0873786407767, 6, 8, 574, 1238.125, 2147483637, 0, NaN, 0.0, 0.136, 0.594, 0.031, 0.043
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_17, 10000, 56321, 452, 9459, 89, 18, 4, 0.0013, 5573, 5.6321, 6.195, 1.099945, 5009, 4991, 0.08744148, 4, 29, 1, 8.0, 1.0, 128, 1553, 1, 78.125, 6, 13, 159, 760.3846153846154, 2147483637, 0, NaN, 0.0, 0.119, 0.44, 0.025, 0.034
