Model,#States,BVI
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_1,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_10,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_100,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_11,8501,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_12,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_13,9033,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_14,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_15,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_16,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_17,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_18,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_19,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_2,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_20,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_21,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_22,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_23,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_24,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_25,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_26,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_27,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_28,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_29,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_3,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_30,8279,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_31,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_32,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_33,7061,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_34,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_35,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_36,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_37,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_38,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_39,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_4,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_40,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_41,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_42,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_43,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_44,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_45,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_46,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_47,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_48,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_49,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_5,9185,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_50,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_51,8477,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_52,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_53,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_54,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_55,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_56,10000,1
