Model,#States,BVI
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_1,10000,1.097
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_10,10000,0.368
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_100,10000,1.245
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_11,8501,0.246
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_12,10000,0.258
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_13,9033,0.042
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_14,10000,0.692
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_15,10000,0.431
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_16,10000,0.67
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_17,10000,0.645
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_18,10000,0.858
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_19,10000,0.681
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_2,10000,0.564
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_20,10000,0.46
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_21,10000,0.641
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_22,10000,1.269
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_23,10000,0.655
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_24,10000,0.192
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_25,10000,0.447
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_26,10000,0.372
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_27,10000,0.555
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_28,10000,0.285
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_29,10000,0.701
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_3,10000,0.426
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_30,8279,0.35
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_31,10000,0.739
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_32,10000,0.439
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_33,7061,0.394
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_34,10000,0.135
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_35,10000,0.518
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_36,10000,0.395
