Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_1, 10676, 66626, 1, 5239, 5436, 18, 5, 0.0066, 14428, 6.240727, 7.596197, 1.2171975, 5845, 4831, 0.0651812, 157, 723, 1, 27.745222929936304, 1.0, 934, 1583, 1, 11.430406852248394, 4, 8, 2, 1218.75, 4, 4, 4.0, 4.0, 0.085, 0.106, 0.237, 0.04
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_10, 9299, 57582, 1, 4552, 4746, 18, 6, 0.0026, 12475, 6.192279, 7.53823, 1.2173595, 4982, 4317, 0.06653542, 127, 886, 1, 29.929133858267715, 1.0, 762, 1960, 1, 12.203412073490814, 3, 6, 2, 1423.8333333333333, 4, 4, 4.0, 4.0, 0.074, 0.101, 0.355, 0.102
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_100, 9432, 57904, 1, 4747, 4684, 19, 5, 0.0071, 12264, 6.139101, 7.4432783, 1.2124379, 5211, 4221, 0.06496688, 122, 736, 1, 30.131147540983605, 1.0, 1028, 1730, 1, 9.17509727626459, 4, 7, 2, 1201.5714285714287, 2147483637, 0, NaN, 0.0, 0.089, 0.17, 0.474, 0.064
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_11, 9482, 59071, 1, 4537, 4944, 17, 6, 5.0E-4, 12867, 6.229804, 7.590593, 1.2184321, 5075, 4407, 0.065148525, 133, 811, 1, 29.8796992481203, 1.0, 703, 1861, 1, 13.487908961593172, 4, 7, 2, 1255.142857142857, 2147483637, 0, NaN, 0.0, 0.08, 0.108, 0.316, 0.043
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_12, 9358, 58564, 1, 4596, 4761, 18, 6, 0.0045, 12416, 6.258175, 7.5894423, 1.2127246, 5018, 4340, 0.065374106, 132, 723, 1, 28.689393939393938, 1.0, 824, 1665, 1, 11.356796116504855, 4, 7, 2, 1220.142857142857, 2147483637, 0, NaN, 0.0, 0.097, 0.11, 0.291, 0.041
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_13, 9567, 60210, 1, 4682, 4884, 18, 5, 0.0016, 12990, 6.293509, 7.6568413, 1.2166251, 5064, 4503, 0.06634541, 133, 811, 1, 28.639097744360903, 1.0, 753, 1917, 1, 12.705179282868526, 4, 7, 2, 1260.142857142857, 2147483637, 0, NaN, 0.0, 0.095, 0.135, 0.248, 0.039
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_14, 9265, 57234, 1, 4677, 4587, 21, 6, 0.0038, 12252, 6.177442, 7.5034, 1.2146451, 4998, 4267, 0.06503258, 133, 676, 1, 27.293233082706767, 1.0, 890, 1583, 1, 10.410112359550562, 4, 7, 2, 1197.4285714285713, 2147483637, 0, NaN, 0.0, 0.09, 0.1, 0.306, 0.039
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_15, 10818, 67651, 1, 5246, 5571, 19, 5, 0.002, 14501, 6.253559, 7.5982623, 1.2150301, 5905, 4913, 0.065476045, 163, 729, 1, 27.392638036809817, 1.0, 934, 1663, 1, 11.582441113490365, 4, 9, 2, 1099.2222222222222, 2147483637, 0, NaN, 0.0, 0.087, 0.109, 0.296, 0.084
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_16, 8389, 51945, 1, 4180, 4208, 17, 6, 0.004, 10948, 6.192037, 7.5018477, 1.2115314, 4500, 3889, 0.06637217, 102, 813, 1, 32.80392156862745, 1.0, 712, 1928, 1, 11.782303370786517, 4, 6, 2, 1280.5, 2147483637, 0, NaN, 0.0, 0.075, 0.098, 0.183, 0.032
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_17, 10731, 67498, 1, 5306, 5424, 19, 5, 0.0073, 14625, 6.290001, 7.657907, 1.2174731, 5684, 5047, 0.06551711, 143, 800, 1, 29.93006993006993, 1.0, 831, 1930, 1, 12.913357400722022, 4, 8, 2, 1238.5, 2147483637, 0, NaN, 0.0, 0.162, 0.103, 0.369, 0.055
