Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,T_BVI,T_LP_SI,T_OVI,VI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_1,10676,263,25500,218,19,,22,,,1821,1823,,911,8,5
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_10,9299,,,,25,,26,,,64805,64840,,770,9,10
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_100,9432,1,1,1,487,,543,,,1169,1248,,910,100,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_11,9482,1,1,1,29,,115,,,1075,1075,,805,40,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_12,9358,1,1,1,40,,42,,,1818,1726,,877,28,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_13,9567,1,1,1,16,,18,,,1638,1645,,795,12,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_14,9265,1,1,1,223,,247,,,1114,1157,,885,127,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_15,10818,1,1,1,28,,40,,,1670,1625,,897,23,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_16,8389,1,1,1,13,,14,,,1108,1091,,723,9,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_17,10731,1,1,1,14,,15,,,1956,1862,,870,9,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_18,9271,89,6000,89,204,,247,,,1284,1158,,731,76,5
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_19,8447,3,3,3,21,,21,,,2022,1829,,697,9,3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_2,10240,1,1,1,11,,11,,,1600,,,833,9,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_20,10972,1,1,1,293,,671,,,1588,1595,,1116,175,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_21,9081,1,1,1,46,,55,,,1198,1198,,727,44,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_22,10860,144,2800,126,377,,460,,,1501,1516,,1026,145,144
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_23,9428,1,1,1,15,,18,,,1351,1282,,810,9,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_24,10915,32,2402,31,35,,36,,,1568,1571,,862,30,19
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_25,8277,131,4203,115,44,,45,,,1385,1420,,747,34,25
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_26,7754,1,1,1,17,,18,,,1099,1103,,675,14,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_27,10791,21,21,4,14,,29,,,1743,1689,,897,23,17
