Conf,Model,Verification Time,Number Of Verif. Phases,Iterations in Verif Phase,NumAborted,NumInduceLowerBound,NumFailedVerif
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_1,1,1,11,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_10,1,1,16,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_100,13,3,15,2,2,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_11,1,1,5,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_12,1,1,14,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_13,1,1,6,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_14,4,2,8,1,1,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_15,1,1,14,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_16,0,1,5,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_17,1,1,6,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_18,6,2,6,1,1,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_19,1,1,12,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_2,0,1,2,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_20,6,2,18,1,1,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_21,1,1,14,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_22,10,2,8,1,1,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_23,1,1,8,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_24,1,1,6,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_25,1,1,10,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_26,0,1,4,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_27,1,1,5,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_28,5,2,3,1,1,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_29,13,2,4,1,1,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_3,1,1,5,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_30,1,1,7,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_31,1,1,4,0,0,0
