Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,T_BVI,T_LP_SI,T_OVI,VI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_1,10676,15.681,321.093,10.749,1.558,0.932,1.54,0.671,1.503,11.908,6.331,0.54,0.892,0.614,0.305
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_10,9299,,,,1.399,1.235,1.475,0.6,1.44,576.698,567.521,0.463,0.988,0.488,0.326
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_100,9432,0.634,0.433,0.549,13.915,1.98,14.05,1.659,1.656,7.102,4.108,1.429,0.914,0.971,0.16
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_11,9482,0.734,0.551,0.598,1.557,1.367,4.242,2.054,2.476,5.447,3.147,0.961,0.824,0.779,0.184
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_12,9358,0.776,0.456,0.646,1.594,1.21,1.566,1.806,2.691,12.16,6.576,0.829,0.828,0.657,0.189
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_13,9567,0.701,0.543,0.705,1.11,0.706,1.116,0.675,1.194,9.713,7.118,0.584,1.161,1.232,0.235
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_14,9265,0.689,0.528,0.716,4.835,1.538,5.52,1.745,2.033,4.82,3.623,0.8,0.938,1.174,0.175
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_15,10818,0.712,0.498,0.773,1.743,1.017,1.656,0.643,1.043,7.633,5.552,0.506,0.704,0.603,0.225
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_16,8389,0.603,0.416,0.568,0.775,0.755,0.899,0.47,0.735,6.19,3.464,0.403,0.776,0.622,0.164
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_17,10731,0.839,0.576,0.796,1.02,0.679,1.234,0.532,1.102,14.488,9.219,0.45,0.908,0.493,0.169
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_18,9271,4.932,61.788,4.655,6.238,0.558,6.631,0.538,0.877,8.122,4.852,0.464,0.731,0.843,0.329
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_19,8447,0.922,0.547,0.7,1.144,0.529,1.51,0.399,0.838,13.187,11.597,0.422,0.71,0.463,0.207
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_2,10240,0.732,0.922,0.779,0.925,0.701,0.97,0.618,0.981,9.879,,0.497,0.843,0.586,0.282
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_20,10972,0.772,0.665,0.689,6.932,1.885,16.571,2.875,2.512,8.364,7.071,1.022,1.022,1.613,0.258
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_21,9081,0.562,0.535,0.479,1.684,1.336,1.223,1.204,2.318,6.817,3.501,0.823,0.767,0.809,0.233
