Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,T_BVI,T_LP_SI,T_OVI,VI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_1,10676,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.01,0.01,0.01,0.01,0.01,0.00999999999999818,0.010000000000000002,0.01,0.0,0.01,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_10,9299,,,,0.0075,0.0075,0.0075,0.0075,0.0075,0.007499999999999988,0.0075,0.0075,0.0,0.0075,0.0075
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_100,9432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_11,9482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_12,9358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_13,9567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_14,9265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_15,10818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_16,8389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_17,10731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_18,9271,0.01,0.01,0.01,0.010000000000000005,0.01,0.010000000000000005,0.01,0.01,0.009999999999997773,0.01,0.01,0.01,0.01,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_19,8447,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
