Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
AV10_10_1, 106524, 231542, 396, 106128, 0, 6, 4, 0.1, 31140, 2.1736135, 2.7955203, 1.2861166, 53592, 52932, 0.30250847, 0, , , , , 398, 53064, 1, 267.64824120603015, 4, 2, 53064, 53064.0, 2147483637, 0, NaN, 0.0, 0.148, 0.301, 0.001, 0.218
AV10_10_2, 106524, 231542, 75552, 7136, 23836, 6, 4, 0.1, 31140, 2.1736135, 2.7955203, 1.2861166, 53592, 52932, 0.30250847, 6, 8527, 4, 2845.0, 4.0, 398, 53064, 1, 267.64824120603015, 4, 2, 53064, 53064.0, , , , , 4.721, 78.477, 0.61, 0.24
AV10_10_3, 106524, 231542, 91445, 1401, 13678, 6, 4, 0.1, 31140, 2.1736135, 2.7955203, 1.2861166, 53592, 52932, 0.30250847, 1, 12034, 12034, 12034.0, 12034.0, 398, 53064, 1, 267.64824120603015, 4, 2, 53064, 53064.0, , , , , 0.375, 58.96, 0.251, 0.332
AV15_15_1, 480464, 1028092, 896, 479568, 0, 6, 4, 0.1, 158000, 2.1397898, 2.8735971, 1.3429343, 241032, 239432, 0.3173439, 0, , , , , 898, 239784, 1, 535.0378619153674, 4, 2, 239784, 239784.0, 2147483637, 0, NaN, 0.0, 0.73, 1.764, 0.0, 0.749
AV15_15_2, 480464, 1028092, 346012, 17136, 117316, 6, 4, 0.1, 158000, 2.1397898, 2.8735971, 1.3429343, 241032, 239432, 0.3173439, 6, 48047, 4, 16018.333333333334, 4.0, 898, 239784, 1, 535.0378619153674, 4, 2, 239784, 239784.0, , , , , 16.878, 403.221, 2.657, 0.647
AV15_15_3, 480464, 1028092, 414160, 3306, 62998, 6, 4, 0.1, 158000, 2.1397898, 2.8735971, 1.3429343, 241032, 239432, 0.3173439, 1, 56554, 56554, 56554.0, 56554.0, 898, 239784, 1, 535.0378619153674, 4, 2, 239784, 239784.0, , , , , 0.685, 283.268, 0.827, 0.818
adt, 305, 366, 24, 238, 43, 4, 2, 0.11250000000000002, 18, 1.2, 1.2590164, 1.0491803, 281, 24, 0.0, 0, , , , , 305, 1, 1, 1.0, 9, 0, 0, 0.0, 2147483637, 0, NaN, 0.0, 0.014, 0.016, 0.006, 0.011
cdmsn, 1240, 2059, 1240, 0, 0, 2, 4, 0.059071881973375796, 2041, 1.6604838, 5.032258, 3.0305974, 620, 620, 0.47596154, 0, , , , , 119, 840, 1, 10.420168067226891, 5, 7, 6, 161.14285714285714, 6, 13, 9.0, 9.0, 0.044, 0.042, 0.002, 0.009
charlton1, 502, 785, 382, 13, 107, 3, 2, 0.01, 455, 1.563745, 2.4701195, 1.5796179, 149, 353, 0.5927419, 0, , , , , 71, 432, 1, 7.070422535211268, 5, 1, 432, 432.0, 4, 27, 16.37142857142857, 16.0, 0.004, 0.045, 0.014, 0.063
charlton2, 502, 785, 2, 82, 418, 3, 2, 0.01, 455, 1.563745, 2.4701195, 1.5796179, 149, 353, 0.5927419, 0, , , , , 71, 432, 1, 7.070422535211268, 5, 1, 432, 432.0, 21, 21, 21.0, 21.0, 0.008, 0.012, 0.005, 0.004
cloud5, 8842, 34805, 7280, 781, 781, 11, 2, 0.001, 25632, 3.9363265, 6.8352184, 1.7364459, 4422, 4420, 0.71014446, 520, 1, 1, 1.0, 1.0, 5460, 2, 1, 1.6194139194139194, 14, 3382, 2, 2.0, 3, 22, 11.928571428571429, 12.0, 0.017, 0.06, 0.597, 0.048
cloud6, 34954, 155509, 30464, 1225, 3265, 13, 2, 0.001, 119456, 4.4489613, 7.866482, 1.7681613, 17478, 17476, 0.74775696, 2176, 1, 1, 1.0, 1.0, 21588, 2, 1, 1.6191402631091347, 16, 13366, 2, 2.0, , , , , 0.031, 0.084, 2.131, 0.16
