Conf,Model,Verification Time,Number Of Verif. Phases,Iterations in Verif Phase,NumAborted,NumInduceLowerBound,NumFailedVerif
G_OVI,AV10_10_1,0,1,1,0,0,0
G_OVI,AV10_10_2,94,2,33,1,1,0
G_OVI,AV10_10_3,59,3,13,2,2,0
G_OVI,AV15_15_1,1,1,1,0,0,0
G_OVI,AV15_15_2,442,2,30,1,1,0
G_OVI,AV15_15_3,333,2,33,1,1,0
G_OVI,adt,0,1,4,0,0,0
G_OVI,cdmsn,0,1,1,0,0,0
G_OVI,charlton1,0,1,1,0,0,0
G_OVI,charlton2,0,1,8,0,0,0
G_OVI,cloud5,0,1,2,0,0,0
G_OVI,cloud6,3,1,3,0,0,0
G_OVI,coins,0,1,1,0,0,0
G_OVI,dice100,119,1,71,0,0,0
G_OVI,dice150,172,1,148,0,0,0
G_OVI,dice50,7,1,3,0,0,0
G_OVI,hallway10_10_1,13,1,1,0,0,0
G_OVI,hallway10_10_2,1,1,1,0,0,0
G_OVI,hallway15_15_1,74,1,1,0,0,0
G_OVI,hallway15_15_2,11,1,1,0,0,0
G_OVI,mdsm1,4,1,12,0,0,0
G_OVI,mdsm2,0,1,1,0,0,0
G_OVI,prison_dil,0,1,1,0,0,0
G_OVI,teamform3,0,1,1,0,0,0
G_OVI,teamform4,0,1,1,0,0,0
G_OVI,two_investors,29,2,48,1,1,0
OPT_OVI,AV10_10_1,0,1,1,0,0,0
OPT_OVI,AV10_10_2,100,2,50,1,1,0
OPT_OVI,AV10_10_3,74,3,32,2,2,0
OPT_OVI,AV15_15_1,1,1,1,0,0,0
OPT_OVI,AV15_15_2,501,2,38,1,1,0
OPT_OVI,AV15_15_3,296,2,44,1,1,0
OPT_OVI,adt,0,1,4,0,0,0
OPT_OVI,cdmsn,0,1,1,0,0,0
OPT_OVI,charlton1,0,1,2,0,0,0
OPT_OVI,charlton2,0,1,22,0,0,0
OPT_OVI,cloud5,0,1,3,0,0,0
OPT_OVI,cloud6,3,1,3,0,0,0
OPT_OVI,coins,0,1,1,0,0,0
OPT_OVI,dice100,162,2,127,1,1,0
OPT_OVI,dice150,312,2,295,1,1,0
OPT_OVI,dice50,10,1,3,0,0,0
OPT_OVI,hallway10_10_1,14,1,1,0,0,0
OPT_OVI,hallway10_10_2,1,1,1,0,0,0
OPT_OVI,hallway15_15_1,77,1,1,0,0,0
OPT_OVI,hallway15_15_2,4,1,1,0,0,0
OPT_OVI,mdsm1,4,1,12,0,0,0
OPT_OVI,mdsm2,0,1,1,0,0,0
OPT_OVI,prison_dil,0,1,1,0,0,0
OPT_OVI,teamform3,0,1,1,0,0,0
OPT_OVI,teamform4,0,1,1,0,0,0
OPT_OVI,two_investors,25,2,82,1,1,0
OVI,AV10_10_1,0,1,1,1,0,0
OVI,AV10_10_2,101,2,50,1,1,0
OVI,AV10_10_3,69,3,32,2,2,0
OVI,AV15_15_1,2,1,1,1,0,0
OVI,AV15_15_2,377,2,38,1,1,0
OVI,AV15_15_3,206,2,44,1,1,0
OVI,adt,0,1,4,0,0,0
OVI,cdmsn,0,1,1,1,0,0
OVI,charlton1,0,1,2,0,0,0
OVI,charlton2,0,1,22,0,0,0
OVI,cloud5,0,1,3,0,0,0
OVI,cloud6,3,1,3,0,0,0
OVI,coins,0,1,1,0,0,0
OVI,dice100,155,2,127,1,1,0
OVI,dice150,222,2,295,1,1,0
OVI,dice50,4,1,3,0,0,0
OVI,hallway10_10_1,16,1,1,1,0,0
OVI,hallway10_10_2,1,1,1,0,0,0
OVI,hallway15_15_1,53,1,1,1,0,0
OVI,hallway15_15_2,6,1,1,0,0,0
OVI,mdsm1,6,1,12,0,0,0
OVI,mdsm2,0,1,1,1,0,0
OVI,prison_dil,0,1,1,0,0,0
OVI,teamform3,0,1,1,1,0,0
OVI,teamform4,1,1,1,1,0,0
OVI,two_investors,23,2,82,1,1,0
T_OVI,AV10_10_1,0,0,-,0,0,0
T_OVI,AV10_10_2,97,4,1,2,0,2
T_OVI,AV10_10_3,64,3,54,2,0,2
T_OVI,AV15_15_1,1,0,-,0,0,0
T_OVI,AV15_15_2,343,4,1,2,0,2
T_OVI,AV15_15_3,224,3,48,2,0,2
T_OVI,adt,0,0,-,0,0,0
T_OVI,cdmsn,0,0,-,0,0,0
T_OVI,charlton1,0,0,-,0,0,0
T_OVI,charlton2,0,1,22,0,0,0
T_OVI,cloud5,0,260,1,0,0,0
T_OVI,cloud6,10,1088,1,0,0,0
T_OVI,coins,0,0,-,0,0,0
T_OVI,dice100,119,0,-,0,0,0
T_OVI,dice150,123,0,-,0,0,0
T_OVI,dice50,6,0,-,0,0,0
T_OVI,hallway10_10_1,12,0,-,0,0,0
T_OVI,hallway10_10_2,3,0,-,0,0,0
T_OVI,hallway15_15_1,45,0,-,0,0,0
T_OVI,hallway15_15_2,8,0,-,0,0,0
T_OVI,mdsm1,4,0,-,0,0,0
T_OVI,mdsm2,0,0,-,0,0,0
T_OVI,prison_dil,0,0,-,0,0,0
T_OVI,teamform3,0,0,-,0,0,0
T_OVI,teamform4,0,0,-,0,0,0
T_OVI,two_investors,15,12,1,2,0,2
WP_OVI,AV10_10_1,0,1,1,0,0,0
WP_OVI,AV10_10_2,90,1,1,0,0,0
WP_OVI,AV10_10_3,62,1,3,0,0,0
WP_OVI,AV15_15_1,3,1,1,0,0,0
WP_OVI,AV15_15_2,444,1,1,0,0,0
WP_OVI,AV15_15_3,310,1,3,0,0,0
WP_OVI,adt,0,1,2,0,0,0
WP_OVI,cdmsn,0,1,1,0,0,0
WP_OVI,charlton1,0,1,1,0,0,0
WP_OVI,charlton2,0,2,3,1,1,0
WP_OVI,cloud5,0,1,1,0,0,0
WP_OVI,cloud6,0,1,1,0,0,0
WP_OVI,coins,0,1,1,0,0,0
WP_OVI,dice100,222,2,64,1,1,0
WP_OVI,dice150,532,2,148,1,1,0
WP_OVI,dice50,9,1,2,0,0,0
WP_OVI,hallway10_10_1,16,1,1,0,0,0
WP_OVI,hallway10_10_2,2,1,1,0,0,0
WP_OVI,hallway15_15_1,94,1,1,0,0,0
WP_OVI,hallway15_15_2,14,1,1,0,0,0
