Model,#States,BVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP,WP_OVI,WP_P3
AV10_10_1,106524,0.585,0.476,1.406,1.264,0.45,1.085,0.536,0.518,0.553,1.024,0.859,1.11,0.928,1.875,1.105,0.783,0.573,0.544,1.101,1.053,0.945,0.991,0.513
AV10_10_2,106524,100.486,87.108,216.15,110.188,94.079,529.656,81.776,100.448,101.711,114.414,108.299,659.765,,,130.774,115.396,97.588,,,84.799,60.153,90.661,101.182
AV10_10_3,106524,61.456,50.67,70.926,67.659,59.194,57.415,54.601,74.875,69.746,61.154,69.02,69.796,,,100.074,71.51,64.455,,,70.83,35.227,62.856,47.171
AV15_15_1,480464,1.816,1.295,2.672,2.347,1.36,1.925,1.601,1.063,2.57,4.091,1.722,3.982,1.147,3.753,2.952,3.189,1.28,0.911,2.391,2.344,2.452,3.101,0.893
AV15_15_2,480464,504.588,463.202,,533.136,442.157,,540.199,501.776,377.003,566.874,580.549,,,,734.81,530.554,343.948,,,450.366,,444.715,344.554
AV15_15_3,480464,270.259,297.503,277.216,611.071,333.018,445.3,326.118,296.734,206.335,,,481.753,,,600.918,341.731,224.367,,,381.069,646.198,310.972,265.545
adt,305,0.029,0.027,0.03,0.042,0.033,0.044,0.074,0.037,0.041,0.039,0.159,0.045,0.582,0.044,0.055,0.065,0.092,0.017,0.019,0.08,0.046,0.026,0.02
cdmsn,1240,0.038,0.046,0.089,0.031,0.071,0.104,0.097,0.061,0.062,0.109,0.075,0.098,0.11,0.086,0.049,0.086,0.062,0.028,0.024,0.122,0.039,0.131,0.04
charlton1,502,0.038,0.031,0.043,0.036,0.096,0.066,0.09,0.055,0.058,0.054,0.067,0.059,0.825,0.098,0.048,0.112,0.138,0.023,0.034,0.137,0.028,0.038,0.026
charlton2,502,0.067,0.072,0.126,0.065,0.082,0.135,0.237,0.093,0.096,0.175,0.207,0.181,0.415,0.3,0.102,0.157,0.125,1.71,0.102,0.088,0.08,0.098,0.067
cloud5,8842,0.578,0.633,1.126,0.632,0.608,0.782,0.178,0.882,0.684,0.258,0.374,0.934,3.658,0.322,0.935,0.877,0.981,0.274,,0.26,0.184,0.131,0.116
cloud6,34954,2.619,2.754,5.172,2.56,3.051,3.532,1.015,3.415,3.396,0.474,0.549,3.408,33.986,,19.372,2.097,10.215,0.667,,1.131,0.759,0.403,0.65
coins,19,0.014,0.012,0.016,0.013,0.011,0.021,0.057,0.018,0.022,0.021,0.06,0.022,0.073,0.027,0.018,0.01,0.026,0.059,0.016,0.028,0.004,0.012,0.012
dice100,554395,134.072,131.333,182.95,123.399,119.262,143.046,123.885,162.373,155.616,153.218,,176.406,,347.242,135.959,135.084,119.82,113.809,141.187,170.963,110.392,222.723,132.841
dice150,1236595,234.313,203.34,286.73,165.981,172.543,259.633,167.262,312.605,222.913,241.8,,273.429,,721.415,172.329,153.451,123.133,151.947,239.525,308.335,235.304,532.463,137.947
dice50,96295,11.992,6.847,7.265,8.576,7.069,9.53,9.577,10.622,4.02,10.822,7.103,9.588,8.277,7.249,9.081,9.094,6.78,8.815,12.026,12.356,10.061,9.965,7.164
hallway10_10_1,400000,20.313,14.526,16.212,11.879,13.541,14.87,18.544,14.408,16.71,15.993,15.201,13.395,13.846,21.074,15.359,16.704,12.639,15.747,16.579,17.847,16.745,16.038,10.192
hallway10_10_2,400000,1.649,1.401,5.009,1.124,1.309,3.81,2.785,1.317,1.271,2.105,1.55,3.683,167.244,15.272,3.545,1.81,3.159,1.543,8.26,4.243,1.259,2.829,0.915
hallway15_15_1,2025000,73.546,61.199,70.591,75.973,74.611,63.777,53.814,77.511,53.485,90.174,79.241,55.852,65.833,130.951,96.415,87.637,45.239,89.559,114.364,72.406,65.704,94.56,32.688
hallway15_15_2,2025000,3.678,8.576,20.657,4.075,11.555,16.855,11.601,4.504,6.483,15.983,9.392,18.513,,390.361,12.871,12.577,8.802,12.08,21.313,17.84,4.903,14.785,2.028
mdsm1,62245,5.275,6.516,8.564,5.64,4.968,7.073,6.892,4.59,6.674,5.971,5.407,8.324,120.489,8.43,4.414,4.314,4.716,4.433,6.475,6.013,10.868,5.196,7.309
mdsm2,62245,0.102,0.099,0.335,0.135,0.138,0.316,0.176,0.171,0.221,0.126,0.344,0.406,0.181,0.325,0.305,0.27,0.116,0.241,0.45,0.533,0.163,0.315,0.148
prison_dil,102,0.023,0.018,0.042,0.016,0.023,0.028,0.055,0.024,0.025,0.024,0.14,0.03,0.205,0.063,0.033,0.018,0.032,0.023,0.027,0.026,0.01,0.018,0.029
teamform3,12476,0.332,0.436,0.413,0.291,0.291,0.293,0.327,0.274,0.281,0.32,0.313,0.607,0.455,0.398,0.383,0.464,0.395,0.412,0.506,0.588,0.311,0.409,0.272
teamform4,96666,0.702,0.902,1.094,0.668,0.676,1.169,1.075,0.798,1.477,0.86,1.584,1.307,1.171,1.168,0.84,1.131,0.711,0.876,1.125,1.48,2.443,1.483,0.757
two_investors,172240,15.018,21.628,27.305,17.092,29.483,18.747,26.444,25.864,23.538,38.713,21.037,25.597,,754.529,22.147,16.366,15.538,,,27.041,25.608,24.629,18.589
